id,canonical_name,aliases,district,address,building_type,parent_complex,source_primary,sources,approval_status,notes
plaza-af-business-house,AF Business House,AF Business House|AF Biznes Evi,Nəsimi,"Nizami küçəsi 203, AZ1010",business_center,,oneclick.az,oneclick.az|gun.az,approved,
plaza-af-com-center,AF Com Center,AF Com Center|AF Com Plaza,Nəsimi,"Səməd Vurğun küçəsi 58/60, AZ1014",business_center,,oneclick.az,oneclick.az,approved,
plaza-afen-plaza,Afen Plaza,Afen Plaza|AFEN PLAZA,Nərimanov,"Yusif Vəzir Çəmənzəminli küçəsi 1996",business_plaza,,oneclick.az,oneclick.az|rentechdigital.com,approved,
plaza-aga-business-center,AGA Business Center,AGA Business Center|Aga Business Center,Xətai,"Xocalı prospekti 55, AZ1025",business_center,,oneclick.az,oneclick.az|azerbaijanyp.com|gun.az,approved,
plaza-altes-plaza,Altes Plaza,Altes Plaza,Yasamal,"İsmayıl Qutqaşınlı küçəsi 507/511B, AZ1073",business_plaza,,oneclick.az,oneclick.az,approved,
plaza-amay-ticaret,Amay ticarət mərkəzi,Amay Shopping Center|Amay ticarət mərkəzi,Xətai,"Nobel prospekti 23, AZ1000",trade_center,,oneclick.az,oneclick.az,approved,Borderline: trade-heavy; offices possible
plaza-azure,Azure Biznes Mərkəzi,Azure|Azure Business Center|Azure Biznes Centre,Xətai,"Nobel prospekti 15, AZ1025",business_center,,oneclick.az,oneclick.az|accountants,approved,Also marketed as Yeni Hayat area
plaza-babek-plaza,Babək Plaza,Babek Plaza|Babək Plaza,Xətai,"Ələddin Quliyev küçəsi 11/30, AZ1025",business_plaza,,oneclick.az,oneclick.az|accountants,approved,
plaza-bbm,Bakı Biznes Mərkəzi (BBM),Baku Business Center|BBM,Səbail,"Neftçilər prospekti 32, AZ1000",business_center,,oneclick.az,oneclick.az,approved,
plaza-bridge-plaza,Bridge Plaza,Bridge Plaza,Nəsimi,"Bakıxanov küçəsi 6, AZ1065",business_plaza,,oneclick.az,oneclick.az,approved,
plaza-caspian-business-center,Caspian Business Center,Old Caspian Business Center|Caspian BC,Yasamal,"Cəfər Cabbarlı küçəsi 44, AZ1065",business_center,Caspian complex,oneclick.az,oneclick.az|gun.az|2gis,approved,Distinct from Caspian Plaza towers
plaza-caspian-plaza-i,Caspian Plaza I,Caspian Plaza|Caspian Plaza 1,Yasamal,"Cəfər Cabbarlı küçəsi 44, AZ1065",business_plaza,Caspian complex,oneclick.az,oneclick.az|accountants,approved,Multi-building campus; confirm corp I vs BC
plaza-caspian-plaza-ii,Caspian Plaza II,Caspian Plaza 2,Yasamal,"Cəfər Cabbarlı küçəsi 44, AZ1065",business_plaza,Caspian complex,oneclick.az,oneclick.az,approved,Same campus address; tower identity TBC
plaza-caspian-plaza-iii,Caspian Plaza III,Caspian Plaza 3,Yasamal,"Cəfər Cabbarlı küçəsi 44, AZ1065",business_plaza,Caspian complex,oneclick.az,oneclick.az|accountants,approved,
plaza-chirag-plaza,Çıraq Plaza Hotel & Business Center,Chirag Plaza|Çıraq Plaza,Yasamal,"Tbilisi prospekti 49C",mixed,,oneclick.az,oneclick.az|gun.az,approved,Hotel + offices
plaza-city-point,City Point Baku,City Point|City Point Biznes Mərkəzi,Yasamal,"Cəlil Məmmədquluzadə küçəsi 102A, AZ1022",business_center,,oneclick.az,oneclick.az|accountants,approved,
plaza-demirchi-tower,Dəmirçi Tower,Dəmirçi Plaza|Demirchi Tower|Demirchi Plaza,Xətai,"Xocalı prospekti 37, AZ1025",business_center,,oneclick.az,oneclick.az|accountants|2gis,approved,
plaza-crystal-plaza,Crystal Plaza,Crystal Plaza,Yasamal,,business_plaza,,oneclick.az orientir,oneclick.az,approved,Address TBC — add from 2GIS in approval pass
