record_group,tenant_id,company_name,sector,plaza_id,plaza_name,address,city,phone,email,website,voen,source,source_id,confidence,extra_json
plaza_tenant,plaza-0059,"MONARCH STUDİO"" Məhdud Məsuliyyətli Cəmiyyəti",company,plaza-adore-plaza,Adore Plaza Biznes Mərkəzi,"AZ1052, BAKI ŞƏHƏRİ NƏRİMANOV RAYONU, HACI MURAD, ev.1, m.ADORE PLAZA",Bakı,,,,1504628391,legal_entities_tax_address,1504628391,high,"{""matched_plaza_alias"": ""adore plaza"", ""address_type"": ""tax_legal"", ""tax_active"": ""false"", ""tax_status"": ""Dayandırılmış""}"
plaza_tenant,plaza-0062,"MÜASİR YOL"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ",company,plaza-adore-plaza,Adore Plaza Biznes Mərkəzi,"AZ1075, BAKI ŞƏHƏRİ NƏRİMANOV RAYONU, ƏHMƏD RƏCƏBLİ, ev.ADORE PLAZA",Bakı,,,,1507350861,legal_entities_tax_address,1507350861,high,"{""matched_plaza_alias"": ""adore plaza"", ""address_type"": ""tax_legal"", ""tax_active"": ""true"", ""tax_status"": ""Aktiv""}"
plaza_tenant,plaza-0069,"RÖVŞƏN OĞUZ QRUP"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ",company,plaza-adore-plaza,Adore Plaza Biznes Mərkəzi,"AZ1052, BAKI ŞƏHƏRİ NƏRİMANOV RAYONU, ƏHMƏD RƏCƏBLİ 1 , ev.8, ""ADORE PLAZA"", 3-CÜ MƏRTƏBƏ",Bakı,,,,1700993511,legal_entities_tax_address,1700993511,high,"{""matched_plaza_alias"": ""adore plaza"", ""address_type"": ""tax_legal"", ""tax_active"": ""true"", ""tax_status"": ""Aktiv""}"
plaza_tenant,plaza-0045,"EXPERT SERVİCES FZE"" MƏHDUD MƏSULİYYƏTLİ AZAD ZONA MÜƏSSİSƏSİNİN AZƏRBAYCAN RESPUBLİKASINDAKI NÜMAYƏNDƏLİYİ",company,plaza-afen-plaza,Afen Plaza,"AZ1069, BAKI ŞƏHƏRİ NƏRİMANOV RAYONU, YUSİF VƏZİR ÇƏMƏNZƏMİNLİ, ev.119C, AFEN PLAZA",Bakı,,,,1505573441,legal_entities_tax_address,1505573441,high,"{""matched_plaza_alias"": ""afen plaza"", ""address_type"": ""tax_legal"", ""tax_active"": ""false"", ""tax_status"": ""Dayandırılmış""}"
plaza_tenant,plaza-0028,PROVICE” məhdud məsuliyyətli cəmiyyəti,accounting,plaza-ap-plaza,AP Plaza,"Bakı şəhəri, Xətai rayonu, G.Şıxlinski küçəsi, ev16, mənzil 9 Faktiki ünvanı: AP Plaza - Xan şuşinski 17",Bakı,(012) 376-35-15 | (050) 212-33-02,info@provice.az | n.orucov@provice.az | orucov.n@gmail.com,https://provice.az/ | www.provice.az,,accountants,provice-mhdud-msuliyytli-cmiyyti,high,"{""matched_plaza_alias"": ""ap plaza"", ""address_type"": ""operational"", ""director"": ""Orucov Nurlan Ziyəddin oğlu""}"
plaza_tenant,plaza-0016,"Global and Legal Audit"" məhdud məsuliyyətli cəmiyyəti",accounting,plaza-aynali-plaza,Aynalı Plaza,"AZ1052, Bakı şəhəri, Nərimanov rayonu, Ə.Rəcəbli küçəsi, ev 156, Aynalı Plaza 5ci mərtəbə 55-ci otaq",Bakı,(050) 640-96-76,office@global-audit.az | r.qarayev@global-audit.az | n.ahmadova@global-audit.az,,,accountants,global-and-legal-audit-mhdud-msuliyytli-cmiyyti,high,"{""matched_plaza_alias"": ""aynalı plaza"", ""address_type"": ""operational"", ""director"": ""Qarayev Rüfət Niyazi oğlu""}"
plaza_tenant,plaza-0037,"ABSHERON OLIVE GARDEN"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ",company,plaza-azure,Azure Biznes Mərkəzi,"AZ1025, BAKI ŞƏHƏRİ XƏTAİ RAYONU, 8 NOYABR, ev.15, AZURE BİZNES MƏRKƏSİ, MƏRTƏBƏ 16, OFİS 105",Bakı,,,,1201947591,legal_entities_tax_address,1201947591,high,"{""matched_plaza_alias"": ""azure"", ""address_type"": ""tax_legal"", ""tax_active"": ""true"", ""tax_status"": ""Aktiv""}"
plaza_tenant,plaza-0038,"ARTONZA"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ",company,plaza-azure,Azure Biznes Mərkəzi,"AZ1025, BAKI ŞƏHƏRİ XƏTAİ RAYONU, 8 NOYABR, ev.15, m.AZURE BUSİNESS CENTER, OFİS 98",Bakı,,,,2008748621,legal_entities_tax_address,2008748621,high,"{""matched_plaza_alias"": ""azure"", ""address_type"": ""tax_legal"", ""tax_active"": ""false"", ""tax_status"": ""Dayandırılmış""}"
plaza_tenant,plaza-0039,"ASEL KREDİT"" BANK OLMAYAN KREDİT TƏŞKİLATI MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ",company,plaza-azure,Azure Biznes Mərkəzi,"AZ1025, BAKI ŞƏHƏRİ XƏTAİ RAYONU, 8 NOYABR, ev.15, ""AZURE"" BİZNES MƏRKƏZİ, m.40",Bakı,,,,1401929161,legal_entities_tax_address,1401929161,high,"{""matched_plaza_alias"": ""azure"", ""address_type"": ""tax_legal"", ""tax_active"": ""true"", ""tax_status"": ""Aktiv""}"
plaza_tenant,plaza-0008,"AZFİNANCE AND CONSULTİNG"" məhdud məsuliyyətli cəmiyyəti",accounting,plaza-azure,Azure Biznes Mərkəzi,"AZ1025, Bakı şəhəri, Azure Biznes Mərkəzi 24-cü mərtəbə, otaq 5",Bakı,(012) 488-66-30 | (050) 236-75-85,elnurk@azfc.az | elnur@azfc.az,,,accountants,azfinance-and-consulting-mhdud-msuliyytli-cmiyyt,high,"{""matched_plaza_alias"": ""azure biznes mərkəzi"", ""address_type"": ""operational"", ""director"": ""Kazımov Elnur Şahin oğlu""}"
plaza_tenant,plaza-0076,"BANK OLMAYAN KREDİT TƏŞKİLATI ""AZFİNANS"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ",company,plaza-azure,Azure Biznes Mərkəzi,"AZ1025, BAKI ŞƏHƏRİ XƏTAİ RAYONU, 8 NOYABR, ev.15, AZURE BİZNES MƏRKƏZİ, 8 -Cİ MƏRTƏBƏ, m.45",Bakı,,,,1307249871,legal_entities_tax_address,1307249871,high,"{""matched_plaza_alias"": ""azure"", ""address_type"": ""tax_legal"", ""tax_active"": ""true"", ""tax_status"": ""Aktiv""}"
