id,name,phone,profile_url,listings_count,description_snippet,source,source_url
insaat-0001,"""Azercansa"" MMC",,https://insaat.az/me/azercansa-mmc-125,,Kənd təsərrüfatı texnikalarının və ehtiyat hissələrinin topdan satışı. Şirkətimiz istehsalçı &quot;Cans,insaat.az,https://insaat.az/shops
insaat-0002,"""Azmaş Lizinq"" MMC",,https://insaat.az/me/azmas-lizinq-mmc-117,84,Tərəfdaşlıq etdiyi şirkətlərin yerli və xarici kənd təsərrüfatı məhsullarının dövlətin 40% güzəşti il,insaat.az,https://insaat.az/shops
insaat-0003,"""Jaluz Pərdə Group"" MMC",(055) 6207553,https://insaat.az/me/jaluz-perde-group-mmc-68,240,&quot;JP Group&quot; MMC 20 il Sizinlə! Türkiyə istehsalı keyfiyyətli jalüzlərin topdan və pərakənd,insaat.az,https://insaat.az/shops
insaat-0004,"""Seyf qapılar "" Məkanı",,https://insaat.az/me/seyf-qapilar-mekani-338,2,Seyf qapıların sifarişi,insaat.az,https://insaat.az/shops
insaat-0005,"""Stardoors Avtomatik Qapılar"" MMC",,https://insaat.az/me/stardoors-avtomatik-qapilar-mmc-210,,"Məhsullarımız Türkiyə, Rusiya və Belarusiya istehsalıdır. Rayonlara Çatdırılma mövcuddur. jaluz qapıları",insaat.az,https://insaat.az/shops
insaat-0006,"""ZEUS"" - ""EuroClima"" rəsmi təmsilçi.",(050) 4816541,https://insaat.az/me/zeus-euroclima-resmi-temsilci-57,78,"Biz uzun illərdir əməkdaşlıq etdiyimiz Almaniyanın, İtaliyanın, Danimarkanın, Türkiyənin, Çinin,Koreyanın,Gürcüstanı",insaat.az,https://insaat.az/shops
insaat-0007,1inci Group,,https://insaat.az/me/1inci-group-121,100,&quot;1inci group&quot; şirkəti istənilən növ inşaat materiallarının satışını həyata keçirir. Məhsullar,insaat.az,https://insaat.az/shops
insaat-0008,AAC MMC,(050) 3323280,https://insaat.az/me/aac-mmc-279,2,Gobustone məsaməli hörgü blokları (Qazobeton) satisi,insaat.az,https://insaat.az/shops
insaat-0009,ABBAS OĞLU DOORS,(077) 5062646,https://insaat.az/me/abbas-oglu-doors-342,150,ABBAS OĞLU DOORS 1998-ci ildən etibarən qapı və darvaza sənətində peşəkarlığı ilə tanınır. Banisi Rizva,insaat.az,https://insaat.az/shops
insaat-0010,Abşeron Makina MMC,(055) 6778020,https://insaat.az/me/abseron-makina-mmc-146,17,Sizə 2 kw-dan 100 kV-a qədər generator və tənzimləyicilərin və onların ehtiyat hissələrinin rayonlar,insaat.az,https://insaat.az/shops
insaat-0011,AG EV DAM ORTUKLERI,,https://insaat.az/me/ag-ev-dam-ortukleri-162,,Müasir Dam Örtükleri Profnastillərin İstenilen Ölçüde Sifarişi Qebul Olunur,insaat.az,https://insaat.az/shops
insaat-0012,Agritex,(050) 2517091,https://insaat.az/me/agritex-381,22,Gəlin Birlikdə Böyüyək!. &quot;AGRITEX&quot; MMC şirkəti 2019-cu ildən Yüksək keyfiyyətli Çin istehsal,insaat.az,https://insaat.az/shops
insaat-0013,Alkopan Polkorbanat satışı,,https://insaat.az/me/alkopan-polkorbanat-satisi-86,60,"Mallarımız türkiye rusiya kitay ve iran maları var polkarbonatlar türk ve rus mallarıdı, alkopanlar kita",insaat.az,https://insaat.az/shops
insaat-0014,Alpan Group,,https://insaat.az/me/alpan-group-90,,"Alpan Group sirkətimiz sənaye konteynerləri, hazır ev, prefabrik bina, metal konstruksiya və anbar tikintis",insaat.az,https://insaat.az/shops
insaat-0015,Alupen,(055) 7663602,https://insaat.az/me/alupen-290,11,Şirkətimiz 2015-ci ildən etibarən avtomatik fotoselli qapilarin montaji xidmətini həyata kecirir. Gördüyümü,insaat.az,https://insaat.az/shops
insaat-0016,ANAROĞLU İNŞAAT,,https://insaat.az/me/anaroglu-insaat-69,,"Anarоğlu İnşaat artıq 5 ildir ki, Azərbaycanda fəaliyyət göstərir. Hovuz avadanlıqları və digər tikint",insaat.az,https://insaat.az/shops
insaat-0017,Anbardan Satış,(050) 3954155,https://insaat.az/me/anbardan-satis-321,59,Polikarbonat satışı. Bir kameralı türkiyə istehsalı polikarbonatın satışı.Üç kameralı polikarbonat satışı.Monoli,insaat.az,https://insaat.az/shops
insaat-0018,Anra Group,,https://insaat.az/me/anra-group-371,,Anra Group Azərbaycanda və Çində JQCM brendinin eksklüziv distribütorudur. Biz Anra Group Imp &amp; Ex,insaat.az,https://insaat.az/shops
insaat-0019,Apex Industries MMC,(010) 4443007,https://insaat.az/me/apex-industries-mmc-280,43,"Apex Industries MMC – avtomatik qapı və keçid sistemləri sahəsində ixtisaslaşmış, etibarlılığı və keyfiyyət",insaat.az,https://insaat.az/shops
insaat-0020,AQLAY EVI,(051) 9284136,https://insaat.az/me/aqlay-evi-120,39,Hər növ aqlay daşlarının ən ucuz qiymətlərlə hazırlanması və satışı.Sizdə evinizi təbii aqlay daşı il,insaat.az,https://insaat.az/shops
insaat-0021,Armatur Azərbaycan,,https://insaat.az/me/armatur-azerbaycan-412,1,Sex və zavod armaturlarinin topdan və pərakəndə satışı .hər ölçüdə xamutlarin hazırlanması,insaat.az,https://insaat.az/shops
insaat-0022,Armatur Mərkəzi,(055) 6356575,https://insaat.az/me/armatur-merkezi-278,49,"Armatur Mərkəzi şirkəti, armatur xamut məhsullarının topdan və pərakəndə satışını həyata keçirir. Yüksə",insaat.az,https://insaat.az/shops
insaat-0023,ATASH MMC,,https://insaat.az/me/atash-mmc-204,17,Bütün növ tikinti matriallarının satışı!. Bütün növ yüklərin daşınması xidməti!,insaat.az,https://insaat.az/shops
insaat-0024,AVERA SERVIS MMC,(070) 2938808,https://insaat.az/me/avera-servis-mmc-133,261,"&quot;Avera Servis&quot; MMC 25 ildən artıqdır ki, Azərbaycanda tikinti avadanlıqlarının satışını v",insaat.az,https://insaat.az/shops
insaat-0025,AVISTA LLC- EPC CONTRACTOR,,https://insaat.az/me/avista-llc-epc-contractor-215,,"&quot;AVISTA&quot; MMC, &quot;Ingersoll Rand&quot;-ın səlahiyyətli distribyutorudur. Qaz və hava kompressorları",insaat.az,https://insaat.az/shops
insaat-0026,Avtomatik qapılar,,https://insaat.az/me/avtomatik-qapilar-360,,Avtomatik qapıların darvaza qollarının jalüzlerin şlaqbaumların Fotosel qapıların satışı quraşdırılmas,insaat.az,https://insaat.az/shops
insaat-0027,AZLIFT PRO,,https://insaat.az/me/azlift-pro-322,,"2007ci ildən inşaat texnikası avadanlıqlarının satışı, icarəsi və servis xidmətini göstəririk. Sürətl",insaat.az,https://insaat.az/shops
insaat-0028,Baku Container,(050) 2613953,https://insaat.az/me/baku-container-12,139,"İstənilən ölçüdə dəmir, sandviç panel konteynerlərinin, biotualetlərin, çadırların alışı, satışı və kirayəs",insaat.az,https://insaat.az/shops
insaat-0029,Baku Plas,(051) 5043196,https://insaat.az/me/baku-plas-96,33,Evinizdən çıxmadan tək birzəngə pəncərə qapı cam balkonnarın təmiri nizamlanması üçün asand həl Bak,insaat.az,https://insaat.az/shops
insaat-0030,BİST MMC İNŞAAT,,https://insaat.az/me/bist-mmc-insaat-350,,"Bist MMC artıq 5 ildir ki, Azərbaycanda fəaliyyət göstərir. Havalandırma avadanlıqları, fasad materialları",insaat.az,https://insaat.az/shops
insaat-0031,Borplast,(099) 9922323,https://insaat.az/me/borplast-365,102,Borplast. Zavoddan bir başa olaraq satış. Sifariş qəbul olunur,insaat.az,https://insaat.az/shops
insaat-0032,Caspian Grandline Temir Tikinti,(055) 6632100,https://insaat.az/me/caspian-grandline-temir-tikinti-401,174,"Təmir stressini bizə buraxın, siz sadəcə evin dadını çıxarın! Caspian Grandline olaraq biz:. ✅ Smet",insaat.az,https://insaat.az/shops
insaat-0033,CEER PLASTIK,,https://insaat.az/me/ceer-plastik-188,,Her cure Hdpe yuksek tezyiqli borular istehsali,insaat.az,https://insaat.az/shops
insaat-0034,Ceilinghome,(070) 8984121,https://insaat.az/me/ceilinghome-7,12,"Əziz müştərilərimiz sizdə evinizin , ofisinizin tavanını gözəl görünməsini isdəyirsinizsə vaxt itirmədə",insaat.az,https://insaat.az/shops
