id,name,institution_type,city,address,source,source_url
school-001,Kaspi liseyi,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-002,Bakı İstanbul Liseyi,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-003,Təlim firması nəzdində ümumi orta ümumtəhsil məktəbi (Erudit),private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-004,Zirvə liseyi,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-005,Bakı Beynəlxalq Təhsil Kompleksi,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-006,Bakı Fransız Liseyi Təhsil Kompleksi,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-007,Sumqayıt şəhəri Dünya məktəbi (Xəzər universitetinin nəzdində),private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-008,Oxbridge Academy,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-009,Heydər Əliyev adına Müasir Təhsil Kompleksi,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-010,M.İbrahimov adına Biləsuvar lisey-məktəb kompleksi,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-011,Xəzər Universiteti nəzdində Dünya məktəbi,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-012,ERA tam orta ümumtəhsil məktəbi,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-013,Odlar Yurdu universitetinin İnnovasiya məktəbi (British School),private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-014,UNİSER MMC-nin nəzdində ümumi orta ümumtəhsil məktəbi,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-015,Xabad Or Avner tədris kompleksi,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-016,Azerbaijan British College Təhsil Kompleksi,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-017,İdrak liseyinin Bakı filialı,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-018,Baku Oxford School tam orta ümumtəhsil məktəbi MMC,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-019,LANDAU School,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-020,Qərb Universiteti tam orta məktəb,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-021,“Avropa Azərbaycan Məktəbi” Təhsil Kompleksi” MMC,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-022,Bakı Modern Təhsil Kompleksi,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-023,Evrika liseyi,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-024,SABİS SUN İnternational school,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-025,XXI əsr Beynəlxalq Təhsil və İnnovasiya Mərkəzi MMC,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-026,İdrak liseyi,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-027,Hədəf Liseyi,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-028,Kaspi liseyinin Xətai filialı,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-029,Baku Oxford Schoolun Şəmkir filialı,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-030,Müasir İnnovasiyalar liseyi,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-031,Nəsrəddin Tusi adına özəl ümumtəhsil  məktəbi,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-032,The İnternational School of Azerbaijan,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
school-033,A.Qorxmaz,private_general_school,Bakı,,modern.az,https://modern.az/az/tehsil/514701/azerbaycandaki-zel-orta-mektebler-siyahi/
