id,company_name,country,category,stand,exhibition_site,exhibition_label,exhibition_year,exhibition_id,company_id,source_url
expo-raw-000001,AZƏRBAYCAN MEMARLAR İTTİFAQI,Azərbaycan,DƏSTƏK,B1018,bakubuild,BakuBuild,2019,183,5652,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000002,AZƏRBAYCAN RESPUBLİKASI SAHİBKARLAR (İŞƏGÖTÜRƏNLƏR) TƏŞKİLATLARI MİLLİ KONFEDERASİYASI,Azərbaycan,DƏSTƏK,B2062,bakubuild,BakuBuild,2019,183,4292,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000003,AZƏRBAYCAN RESPUBLİKASININ KİÇİK VƏ ORTA BİZNESİN İNKİŞAFI AGENTLİYİ,Azərbaycan,DƏSTƏK,B2405,bakubuild,BakuBuild,2019,183,4316,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000004,AZƏRBAYCAN RESPUBLİKASININ MƏNZİL İNŞAATI DÖVLƏT AGENTLİYİ,Azərbaycan,DƏSTƏK,B1310,bakubuild,BakuBuild,2019,183,5653,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000005,AZƏRBAYCAN RESPUBLİKASININ İXRACIN VƏ İNVESTİSİYALARIN TƏŞVİQİ AGENTLİYİ (AZPROMO),Azərbaycan,DƏSTƏK,-,bakubuild,BakuBuild,2019,183,4289,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000006,1 NEWS İNFORMASİYA AGENTLİYİ MMC,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2019,183,4265,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000007,"ALO, HƏKİM JURNALI",Azərbaycan,MEDİA,P142,bakubuild,BakuBuild,2019,183,5457,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000008,ARENDA.AZ MMC,Azərbaycan,MEDİA,P124,bakubuild,BakuBuild,2019,183,5864,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000009,ASAN RADİO 100 FM,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2019,183,4258,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000010,AZƏRTAC,Azərbaycan,MEDİA,P112,bakubuild,BakuBuild,2019,183,4259,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000011,BAKUCİTY.AZ,Azərbaycan,MEDİA,P114,bakubuild,BakuBuild,2019,183,4829,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000012,BAKUİNFORM.AZ İNFO PORTAL,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2019,183,4260,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000013,BAGCAM.AZ,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2019,183,,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000014,CASPIAN ENERGY CLUB,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2019,183,4932,https://bakubuild.az/az/exhibitors-list/year/2019
expo-raw-000015,CASPIAN ENERGY INTERNATIONAL MEDIA GROUP,Azərbaycan,MEDİA,P138,bakubuild,BakuBuild,2019,183,4364,https://bakubuild.az/az/exhibitors-list/year/2019
