id,company_name,country,categories,stands,exhibitions,years,appearance_count,extra_json
expo-00001,"""AGROSYSTEMS"" MMC",Azərbaycan,TƏRƏFDAŞ,2A009,Caspian Agro Week,2026,1,"{""appearances"": [{""exhibition"": ""caspianagroweek"", ""exhibition_label"": ""Caspian Agro Week"", ""year"": ""2026"", ""category"": ""TƏRƏFDAŞ"", ""stand"": ""2A009"", ""company_id"": ""354526"", ""source_url"": ""https://caspianagroweek.az/az/exhibitors-list/year/2026""}]}"
expo-00002,"""ATILLA TRANS SERVICES A"" QSC",Azərbaycan,MEDİA,1C012 | 3C032,Caspian Oil & Gas,2023 | 2025,2,"{""appearances"": [{""exhibition"": ""caspianoilgas"", ""exhibition_label"": ""Caspian Oil & Gas"", ""year"": ""2023"", ""category"": ""MEDİA"", ""stand"": ""3C032"", ""company_id"": ""283336"", ""source_url"": ""https://caspianoilgas.az/az/exhibitors-list/year/2023""}, {""exhibition"": ""caspianoilgas"", ""exhibition_label"": ""Caspian Oil & Gas"", ""year"": ""2025"", ""category"": ""MEDİA"", ""stand"": ""1C012"", ""company_id"": ""283336"", ""source_url"": ""https://caspianoilgas.az/az/exhibitors-list/year/2025""}]}"
expo-00003,"""AVTO 999"" MMC",Azərbaycan,MEDİA,2T056,TransLogistica Caspian,2023,1,"{""appearances"": [{""exhibition"": ""translogistica"", ""exhibition_label"": ""TransLogistica Caspian"", ""year"": ""2023"", ""category"": ""MEDİA"", ""stand"": ""2T056"", ""company_id"": ""276457"", ""source_url"": ""https://translogistica.az/az/exhibitors-list/year/2023""}]}"
expo-00004,"""AZ-FİLTER"" MMC/TUC",Azərbaycan,MEDİA,2T048,TransLogistica Caspian,2023,1,"{""appearances"": [{""exhibition"": ""translogistica"", ""exhibition_label"": ""TransLogistica Caspian"", ""year"": ""2023"", ""category"": ""MEDİA"", ""stand"": ""2T048"", ""company_id"": ""274638"", ""source_url"": ""https://translogistica.az/az/exhibitors-list/year/2023""}]}"
expo-00005,"""AZERPRODUCT"" MMC (NARLI BRENDİ)",Azərbaycan,MEDİA,F1010-4,InterFood Azerbaijan,2022,1,"{""appearances"": [{""exhibition"": ""interfood"", ""exhibition_label"": ""InterFood Azerbaijan"", ""year"": ""2022"", ""category"": ""MEDİA"", ""stand"": ""F1010-4"", ""company_id"": """", ""source_url"": ""https://interfood.az/az/exhibitors-list/year/2022""}]}"
expo-00006,"""AZROSPROMINVEST"" MMC",Azərbaycan,MEDİA,2C036,Caspian Oil & Gas,2023,1,"{""appearances"": [{""exhibition"": ""caspianoilgas"", ""exhibition_label"": ""Caspian Oil & Gas"", ""year"": ""2023"", ""category"": ""MEDİA"", ""stand"": ""2C036"", ""company_id"": ""273311"", ""source_url"": ""https://caspianoilgas.az/az/exhibitors-list/year/2023""}]}"
expo-00007,"""AZƏRSILAH"" MÜDAFIƏ SƏNAYESI HOLDINQI - QAPALI SƏHMDAR CƏMIYYƏTI",Azərbaycan,MEDİA,1A120 | 3A130 | 6A500,Securex Caspian,2024,3,"{""appearances"": [{""exhibition"": ""securexcaspian"", ""exhibition_label"": ""Securex Caspian"", ""year"": ""2024"", ""category"": ""MEDİA"", ""stand"": ""1A120"", ""company_id"": """", ""source_url"": ""https://securexcaspian.az/az/exhibitors-list/year/2024""}, {""exhibition"": ""securexcaspian"", ""exhibition_label"": ""Securex Caspian"", ""year"": ""2024"", ""category"": ""MEDİA"", ""stand"": ""6A500"", ""company_id"": """", ""source_url"": ""https://securexcaspian.az/az/exhibitors-list/year/2024""}, {""exhibition"": ""securexcaspian"", ""exhibition_label"": ""Securex Caspian"", ""year"": ""2024"", ""category"": ""MEDİA"", ""stand"": ""3A130"", ""company_id"": """", ""source_url"": ""https://securexcaspian.az/az/exhibitors-list/year/2024""}]}"
expo-00008,"""BAKI GƏMİQAYIRMA ZAVOD"" MMC",Azərbaycan,MEDİA,1C026,Caspian Oil & Gas,2024,1,"{""appearances"": [{""exhibition"": ""caspianoilgas"", ""exhibition_label"": ""Caspian Oil & Gas"", ""year"": ""2024"", ""category"": ""MEDİA"", ""stand"": ""1C026"", ""company_id"": ""300753"", ""source_url"": ""https://caspianoilgas.az/az/exhibitors-list/year/2024""}]}"
expo-00009,"""BAKU STEEL COMPANY"" QSC",Azərbaycan,MEDİA,1308 | 1C312 | 1C314 | 1C322 | C1308,Caspian Oil & Gas,2019 | 2022 | 2023 | 2024 | 2025 | 2026,6,"{""appearances"": [{""exhibition"": ""caspianoilgas"", ""exhibition_label"": ""Caspian Oil & Gas"", ""year"": ""2019"", ""category"": ""MEDİA"", ""stand"": ""1308"", ""company_id"": ""4584"", ""source_url"": ""https://caspianoilgas.az/az/exhibitors-list/year/2019""}, {""exhibition"": ""caspianoilgas"", ""exhibition_label"": ""Caspian Oil & Gas"", ""year"": ""2022"", ""category"": ""MEDİA"", ""stand"": ""C1308"", ""company_id"": ""4584"", ""source_url"": ""https://caspianoilgas.az/az/exhibitors-list/year/2022""}, {""exhibition"": ""caspianoilgas"", ""exhibition_label"": ""Caspian Oil & Gas"", ""year"": ""2023"", ""category"": ""MEDİA"", ""stand"": ""1C314"", ""company_id"": ""4584"", ""source_url"": ""https://caspianoilgas.az/az/exhibitors-list/year/2023""}, {""exhibition"": ""caspianoilgas"", ""exhibition_label"": ""Caspian Oil & Gas"", ""year"": ""2024"", ""category"": ""MEDİA"", ""stand"": ""1C314"", ""company_id"": """", ""source_url"": ""https://caspianoilgas.az/az/exhibitors-list/year/2024""}, {""exhibition"": ""caspianoilgas"", ""exhibition_label"": ""Caspian Oil & Gas"", ""year"": ""2025"", ""category"": ""MEDİA"", ""stand"": ""1C322"", ""company_id"": ""324525"", ""source_url"": ""https://caspianoilgas.az/az/exhibitors-list/year/2025""}, {""exhibition"": ""caspianoilgas"", ""exhibition_label"": ""Caspian Oil & Gas"", ""year"": ""2026"", ""category"": ""MEDİA"", ""stand"": ""1C312"", ""company_id"": ""324525"", ""source_url"": ""https://caspianoilgas.az/az/exhibitors-list/year/2026""}]}"
expo-00010,"""BANUÇİÇƏK""",Azərbaycan,MEDİA,F1010-7,InterFood Azerbaijan,2022,1,"{""appearances"": [{""exhibition"": ""interfood"", ""exhibition_label"": ""InterFood Azerbaijan"", ""year"": ""2022"", ""category"": ""MEDİA"", ""stand"": ""F1010-7"", ""company_id"": """", ""source_url"": ""https://interfood.az/az/exhibitors-list/year/2022""}]}"
