id,name,legal_form,license_number,license_date,address,phone,email,website,ceo,contacts_raw,source_url
bokt-001,"BOKT ""Avrasiya-Kredit"" MMC",,203-QB,14.12.2007,"Bakı şəhəri, Yasamal rayonu, İnşaatçılar prospekti, 40",(+99412) 510 03 20,,,Mərzəyev Oğuz Umud oğlu,Tel: (+99412) 510 03 20,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-002,“Azərbaycan Mikro-Kredit BOKT” ASC,,BKT-25,25.06.2014,"Bakı şəhəri, Səbail rayonu, Nizami küçəsi, ev 68",(+99412) 498 94 97 www.amk.az,,www.amk.az,Muradov Emil Gülbaba oğlu,Tel: (+99412) 498 94 97 www.amk.az,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-003,BOKT “Azəri Star Mikromaliyyə” MMC,,177-QB,13.07.2005,"Bakı şəhəri, Nərimanov rayonu, Ələsgər Qayıbov küçəsi, ev 10G",,,,Salayev Kənan Hacı oğlu,,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-004,"BOKT ""AzFinans"" MMC",,BKT-40,14.09.2021,"Bakı şəhəri, Xətai rayonu, 8 Noyabr pr 15, Azure Biznes Mərkəzi, 8-ci mərtəbə, otaq 45",. (994 012) 525-43-74(994 55) 200-54-96www.azfinans-bokt.az,,www.azfinans-bokt.az,İsmayılzadə Vəli Nizami oğlu,Tel. (994 012) 525-43-74(994 55) 200-54-96www.azfinans-bokt.az,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-005,“AZİNVESTKREDİT BOKT” MMC,,BKT-13,05.08.2013,"Bakı şəhəri, Nərimanov rayonu, F.X.Xoyski prospekti, 108 B",(+99412) 564 55 88 www.azinvestkredit.az,,www.azinvestkredit.az,Vəliyeva Səbinə Novruz qızı,Tel: (+99412) 564 55 88 www.azinvestkredit.az,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-006,“Azmikroinvest BOKT” MMC,,BKT-23,29.05.2014,"Bakı şəhəri, Nərimanov rayonu, Əlövsət Əbdülrəhimov küçəsi, ev 52A",(+99455) 250 28 05,,,Vəliyev Namiq Natiq oğlu,Tel: (+99455) 250 28 05,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-007,“Aqrarkredit” QSC BOKT,,126-BO,12.05.2001,"Bakı şəhəri, Yasamal rayonu, Qədirli küçəsi 125",(+99412) 498 15 17 www.aqrarkredit.az,,www.aqrarkredit.az,Kələşov İlham Qəhrəman oğlu,Tel: (+99412) 498 15 17 www.aqrarkredit.az,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-008,“ASEL Kredit” BOKT MMC,,BKT-2,15.04.2011,"Bakı şəhəri, Nəsimi rayonu, Sarabski küçəsi, bina 59-59 a",(+99412) 498 15 17,,,Behbidov Pərviz Fikrət oğlu (v.m.i.e),Tel: (+99412) 498 15 17,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-009,BOKT “EMBAFİNANS” QSC,,BKT-10,30.07.2012,"Bakı şəhəri, Yasamal rayonu, General Akim Abbasov küçəsi, 73E",\*1414(+99412) 311 15 42,,,Hüseynov Nahid Şahin oğlu,Tel: \*1414(+99412) 311 15 42,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-010,“Brand Credit BOKT” MMC,,BKT-9,21.11.2011,"Bakı şəhəri, Nərimanov rayonu, Sabit Rəhman küçəsi,ev 46, mənzil. 36",(+99412) 441 39 60 www.brandcredit.az,,www.brandcredit.az,,Tel: (+99412) 441 39 60 www.brandcredit.az,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-011,“BOKT İDK” MMC,,BKT- 6,26.05.2011,"Bakı şəhəri, Nərimanov rayonu, Əhməd Rəcəbli küçəsi, ev 29",(+99455) 490 61 05,,,Nuri Fatimə Məmmədbağır qızı,Tel: (+99455) 490 61 05,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-012,“Caspian Finance BOKT” MMC,,BKT - 46,25.10.2023,"Bakı şəhəri, Yasamal rayonu, Həsənbəy Zərdabi pr, ev 2A",,,,İsgəndərov Samir Xangiz oğlu,,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-013,BOKT “Caspian İnvest” MMC,,164-QB,28.09.2004,"Bakı şəhəri, Nərimanov rayonu, Əhməd Rəcəbli küçəsi, ev 2, mənzil 15",(+99412) 311 15 17,,,Salmanov İbrahim Elşən oğlu,Tel: (+99412) 311 15 17,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-014,“City Finance” BOKT MMC,,BKT-20,07.01.2014,"Bakı şəhəri, Xətai rayonu, Xocalı prospekti, 37",(+99412) 310 57 00www.cityfinance.az,,www.cityfinance.az,Əhmədov Tural Mahir oğlu,Tel: (+99412) 310 57 00www.cityfinance.az,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-015,“Alfa Kapital” BOKT MMC,,BKT- 15,25.09.2013,"Bakı şəhəri, Səbail rayonu, Azərbaycan prospekti, ev 5, mənzil 17",(+99412) 597 45 79,,,Cavadov Murad Şirin oğlu,Tel: (+99412) 597 45 79,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-016,"BOKT ""Falcon Finance"" MMC",,BKT-16,26.09.2013,"Bakı şəhəri, Nərimanov rayonu, Əhməd Rəcəbli 46, mənzil 1-ci və 2-ci qapı",,,,,,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-017,“NEO BOKT” ASC,,200-QB,20.11.2007,"Bakı şəhəri, Nərimanov rayonu, Ə.Rəcəbli küçəsi 3, ev 4",(+99412) 465 83 67,,,Məmmədov Anar Seyid oğlu,Tel: (+99412) 465 83 67,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-018,"""FinEx Kredit"" BOKT ASC",Məhdud Məsuliyyətli Cəmiyyət,BKT-14,10.09.2013,"Bakı şəhəri, Nəsimi rayonu, Süleyman Rüstəm küçəsi,11",,,,Məmmədova Leyli Calal qızı,,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-019,"“FİNKAPİTAL BOKT"" MMC",,BKT-43,30.11.2021,"Bakı şəhəri, Nəsimil rayonu, Nizami küçəsi, ev 73, mənzil 17",,,,Bağırov Tural Şamil oğlu,,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-020,“FinTrend” BOKT MMC,,BKT-24,05.06.2014,"Bakı şəhəri, Səbailrayonu, Bünyad Sərdarov küçəsi, ev 15, 2-ci mərtəbə",(+994) 050 335 68 54,,,Qəmbərova Sevinc Azər qızı,Tel: (+994) 050 335 68 54,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-021,BOKT “İDEAL KREDİT” MMC,,135-QB,30.09.2003,"Bakı şəhəri, Nərimanov rayonu, F.Xoyski küçəsi, ev 111",,,,Qubadov Qubad Baxaş oğlu,,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-022,BOKT “İnkişaf üçün Maliyyə” MMC,,133-QB,11.04.2003,"Bakı şəhəri, Həzi Aslanov küçəsi, 115 mənzil 8",(+99412) 408 02 69,,,Əliyev Cəlal Sadıx oğlu,Tel: (+99412) 408 02 69,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-023,BOKT “İnternational” ASC,,BKT- 12,23.05.2013,"Bakı şəhəri, Nərimanov rayonu, M.K.Atatürk pr, ev 12A",(+994) 050-555-15-43,,,Həsənov Nicat Vaqif oğlu,Tel: (+994) 050-555-15-43,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-024,"""İrşad BOKT"" MMC",,BKT- 49,12.09.2024,"Bakı şəhəri, Nərimanov rayonu, Təbriz küçəsi, ev 28A",,,www.irshadbokt.az,Cəbrayılov Bəşir Eldar oğlu,\*1171www.irshadbokt.az,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-025,“Kəpəz” BOKT MMC,,BKT- 22,19.03.2014,"Bakı şəhəri, Yasamal rayonu, Mirzə Fətəli Axundov, ev 177",(+99455) 211-13-83,,,Əliyev Rəşad Əbülfəz oğlu,Tel: (+99455) 211-13-83,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-026,”KredAqro” BOKT MMC,,119-QB,15.11.2000,"Bakı şəhəri, Nərimanov rayonu, Əhməd Rəcəbli küçəsi, mənfi 1,6B",,,www.kredaqro.com,Əkbərov Anar Füzuli oğlu,\*0711www.kredaqro.com,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-027,"BOKT ""KREDEX"" QSC",,BKT- 19,07.01.2014,"Bakı şəhəri, Xətai rayonu, Babək pr, ev 154",,,,Baxışov Namiq Məmməd oğlu,,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-028,“Kredit Servis BOKT” MMC,,BKT-3,15.04.2011,"Bakı şəhəri, Nərimanov rayonu, 1956-1989-cu məhəllə,  Əliyar Əliyev küçəsi, ev 26, bina 9",(+99412) 567 57 71,,,Süleymanov Teymur Şəkərəli oğlu,Tel: (+99412) 567 57 71,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-029,“Merkuri BOKT” QSC,,BKT- 11,01.02.2013,"Bakı şəhəri, Nəsimi rayonu, Mirəli Qaşqay küçəsi, ev 71",(+99412) 449 95 79 www.merkuri.az,,www.merkuri.az,Məcidov Teymur Məhərrəm oğlu,Tel: (+99412) 449 95 79 www.merkuri.az,https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-030,“M Bulak BOKT” MMC,,180-QB,10.11.2005,"Bakı şəhəri, Binəqədi rayonu, M.Rəsulzadə ŞTQ,  Svetlana Məmmədova küçəsi(Rəsulzadə qəsəbəsi, ev 107",,,www.molbulak.az](http://www.molbulak.az/),Shakirova Altyn,[www.molbulak.az](http://www.molbulak.az/),https://www.cbar.az/page-196/non-bank-credit-institutions
bokt-031,“PARA” BOKT ASC,,BKT-30,30.03.2017,"Bakı şəhəri, Nəsimi rayonu,Səməd Vurğun küçəsi, ev 60",(+99412) 447 10 00,,,Quliyev Elnur Eldar oğlu,Tel: (+99412) 447 10 00,https://www.cbar.az/page-196/non-bank-credit-institutions
