id,name,legal_form,voen,state_registered_at,license_date,address,phone,email,website,contacts_raw,source_url
insurer-001,"""A-Qroup Sığorta Şirkəti"" ASC",,9900027621,16.08.1995,30.07.2010,"Bakı şəh., Səbail ray., Azadlıq pr. 3",0124982183,insurance@a-group.az,www.a-group.az,"Tel: 0124982183, 0124982181,0124988669, \*0909, 012 377 09 09 e-mail:insurance@a-group.az www.a-group.az",https://www.cbar.az/page-202/insurers-and-reinsurers
insurer-002,"“Atəşgah"" Sığorta Şirkəti ASC",,9900004941,18.12.1996,07.03.2012,"Bakı şəh., Nəsibbəy Yusifbəyli pr., 75 B, AZ1007",(+994 12) 940,office@ateshgah.com,www.ateshgah.com,"Tel: (+994 12) 940; (+994 12) 497-81-82;  e-mail: office@ateshgah.com, www.ateshgah.com",https://www.cbar.az/page-202/insurers-and-reinsurers
insurer-003,“İpək Yolu Sığorta” ASC,,9900002671,06.09.1995,06.07.2011,"Bakı şəh., Binə qəs., Heydər Əliyev pr. 573, “Aviation Services Group” binası, 4-cü mərtəbə",(+994 12) 598-39-50,contact@iys.azwww.iys.az,www.iys.az,"Tel: (+994 12) 598-39-50, (+994 12) 598-38-50; (+994 12) 598-31-92; Faks: (+994 12) 598-38-02; e-mail: contact@iys.azwww.iys.az",https://www.cbar.az/page-202/insurers-and-reinsurers
insurer-004,"""Azərbaycan Sənaye Sığorta"" ASC",,9900011151,17.12.1996,02.04.2012,"Faktiki ünvanı Bakı şəh., Səbail ray., Həsən Seyidbəyli küç., 122, ""Gümüş Plaza""",(+994 12) 404 13 03,,www.aiic.az,"Tel: (+994 12) 404 13 03, Faks: (+994 12) 404 13 04;  www.aiic.az info@aiic.az",https://www.cbar.az/page-202/insurers-and-reinsurers
insurer-005,"""AzSığorta"" ASC",,1301158021,11.10.2006,16.11.2011,"Bakı şəh., AZ 1073, İ. Qutqaşınlı 99/1 Faktiki ünvan: Bakı şəh., Səbail ray., M.Useynov pr., ev 63",(+994 12) 565-66-66,,,"Tel: (+994 12) 565-66-66, (+994 12) 505-66-66, (+994 12) 497-34-30, (+994 12) 497-34-33 Faks: 497-89-59 info@azinsurance.az",https://www.cbar.az/page-202/insurers-and-reinsurers
insurer-006,"""Meqa Sığorta"" ASC",,1400143091,28.09.1998,14.03.2012,"AZ 1052, Bakı şəh., Əhməd Rəcəbli küç. 19 A",(+994 12) 565 32 32,office@meqasigorta.az,www.meqasigorta.az,Tel: (+994 12) 565 32 32; 0502758682 Faks: (+994 12) 565 45 05 e-mail:  office@meqasigorta.az  www.meqasigorta.az,https://www.cbar.az/page-202/insurers-and-reinsurers
insurer-007,"""Qala Sığorta"" ASC",,1700066901,15.01.1999,16.12.2015,"Bakı şəh., Yasamal ray., Azərbaycan pr., 14, məh. 221",(+994 12) 377 10 10 office@qala-insurance.az www.qala-insurance.az/,,www.qala-insurance.az/,Tel: (+994 12) 377 10 10 office@qala-insurance.az www.qala-insurance.az/,https://www.cbar.az/page-202/insurers-and-reinsurers
insurer-008,"""Xalq Sığorta"" ASC",,2000358551,26.01.2005,29.04.2010,"Bakı şəh., AZ 1065, İnşaatçılar pr. 22 L",(+994 12) 598-00-66,mail@xalqsigorta.az,www.xalqsigorta.az,Tel: (+994 12) 598-00-66; (+994 12) 404-43-00/01/02/03/04/05/06  Faks: (+994 12) 404-43-08/09;  e-mail: mail@xalqsigorta.az  www.xalqsigorta.az,https://www.cbar.az/page-202/insurers-and-reinsurers
insurer-009,“Paşa Sığorta” ASC,,1400837161,15.03.2006,01.07.2011,"Bakı şəh., Səbail ray., M.Useynov pr., 61, ""Sahil Plaza, AZ1000",(+994 12) 505 12 22 Faks: (+994 12) 598-18-07office@pasha-insurance.az,,,Tel: (+994 12) 505 12 22 Faks: (+994 12) 598-18-07office@pasha-insurance.az,https://www.cbar.az/page-202/insurers-and-reinsurers
insurer-010,“Qala Həyat” Sığorta Şirkəti ASC,,2001269471,07.07.2008,29.07.2013,"Hüquqi və faktiki ünvan: Bakı şəh., İzmir küç., 5A",/Fax: (99412) 404 77 74,,www.qala.az,Tel/Fax: (99412) 404 77 74; 0121540 - qısa nömrə  Faks: (99412) 441 40 00 www.qala.az  office@qala.az,https://www.cbar.az/page-202/insurers-and-reinsurers
insurer-011,"""Paşa Həyat Sığorta"" ASC",,1401876531,24.11.2010,11.12.2015,"Bakı şəhəri, M.Useynov prospekti, 61, Sahil Plaza",994 12 525 29 42,office@pasha-life.azwww.pasha-life.az,www.pasha-life.az,"Tel: 994 12 525 29 42, 942mob:(0(+50;+55)) 282-13-32e-mail:office@pasha-life.azwww.pasha-life.az",https://www.cbar.az/page-202/insurers-and-reinsurers
insurer-012,"""Xalq Həyat"" Sığorta Şirkəti ASC",,1305790041,23.11.2018,14.03.2024,"Bakı şəh., Nizami ray., Keşlə qəs., H.Əliyev pr. 164",012 310 05 25office@xalqhayat.az,,,Tel: 012 310 05 25office@xalqhayat.az,https://www.cbar.az/page-202/insurers-and-reinsurers
