id,voen,buyer_name,address,competition_count,event_statuses,sample_event_ids,last_publish_date,sample_document_number,source
etender-buyer-1,1700360581,Azərbaycan Respublikasının Dövlət Sərhəd Xidməti,"AZ 1000, Bakı şəhər, Z.Əliyeva küçəsi, 76",1036,active | awarded | cancelled | other,354566 | 354458 | 354457 | 354456 | 354454,2026-06-29,2026/AT/03163/V1,etender.gov.az/main/competitions
etender-buyer-2,1402871431,"""BAKI METROPOLİTENİ"" QAPALI SƏHMDAR CƏMİYYƏTİ","Bakı şəhəri,Nəsimi r-nu M.Rəfili 16",822,active | awarded | cancelled | other,354542 | 354483 | 354081 | 353719 | 351738,2026-06-29,2026/AT/03151/V1,etender.gov.az/main/competitions
etender-buyer-3,1300162621,AZƏRBAYCAN RESPUBLİKASI MÜDAFİƏ NAZİRLİYİ,Parlament prospekti 3,661,active | awarded | cancelled | other,354580 | 354448 | 354402 | 354357 | 354356,2026-06-29,2026/AT/02692/V2,etender.gov.az/main/competitions
etender-buyer-4,9900001751,"""İRİ ŞƏHƏRLƏRİN BİRLƏŞMİŞ SU TƏCHİZATI XİDMƏTİ"" PUBLİK HÜQUQİ ŞƏXSİ"," Moskva prospekti 67, AZ 1012 Bakı, ",638,active | awarded | cancelled | other,354592 | 354314 | 353976 | 353760 | 353758,2026-06-29,2026/AT/03173/V1,etender.gov.az/main/competitions
etender-buyer-5,1500016711,AZƏRBAYCAN RESPUBLİKASI TƏHSİL NAZİRLİYİNİN TƏSƏRRÜFAT HESABLI ƏSASLI TİKİNTİ VƏ TƏCHİZAT İDARƏSİ,"Bakı şəhəri, Y.Bakuvi küçəsi 18 ",557,active | awarded | cancelled | other,354579 | 354310 | 354192 | 353763 | 353228,2026-06-29,2026/AT/03169/V1,etender.gov.az/main/competitions
etender-buyer-6,1700121811,"""AZƏRBAYCAN MELİORASİYA VƏ SU TƏSƏRRÜFATI"" AÇIQ SƏHMDAR CƏMİYYƏTİ","Bakı ş. AZ1000, Hökümət Evi, mər. 5",431,active | awarded | cancelled | other,354488 | 354487 | 354486 | 354480 | 354477,2026-06-25,2026/AT/03130/V1,etender.gov.az/main/competitions
etender-buyer-7,9900071001,AZƏRBAYCAN RESPUBLİKASININ MƏRKƏZİ BANKI,"AZ1014, Bakı şəhəri, Rəşid Behbudov küçəsi, 90",411,active | awarded | cancelled | other,354581 | 354468 | 354431 | 354399 | 354398,2026-06-29,2026/AT/03170/V1,etender.gov.az/main/competitions
etender-buyer-8,1701393691,AZƏRBAYCAN RESPUBLİKASININ PREZİDENTİ YANINDA VƏTƏNDAŞLARA XİDMƏT VƏ SOSİAL İNNOVASİYALAR ÜZRƏ DÖVLƏT AGENTLİYİ,,389,active | awarded | cancelled | other,354233 | 353440 | 353027 | 352235 | 352011,2026-06-22,2026/AT/03044/V1,etender.gov.az/main/competitions
etender-buyer-9,1305481501,"""AZƏRALÜMİNİUM"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ","Bakı şəhəri , Yasamal r-nu, İzmir küç. 14, ASK VILLA  , AZ1065 .",387,active | awarded | cancelled | other,305027 | 302148 | 296896 | 296863 | 296857,2024-04-23,82430,etender.gov.az/main/competitions
etender-buyer-10,1404365471,AZƏRBAYCAN RESPUBLİKASININ DÖVLƏT TURİZM AGENTLİYİ,"Nəsimi rayonu, Ü. Hacıbəyli 134.",378,active | awarded | cancelled | other,354511 | 354064 | 352790 | 352626 | 352211,2026-06-25,2026/AT/03137/V1,etender.gov.az/main/competitions
etender-buyer-11,1400108191,AZƏRBAYCAN RESPUBLİKASİNİN MALİYYƏ NAZİRLİYİ,"Bakı şəhəri, Səməd Vurğun 135",367,active | awarded | cancelled | other,354556 | 353787 | 353642 | 353249 | 353162,2026-06-29,2026/AT/03159/V1,etender.gov.az/main/competitions
etender-buyer-12,1305817761,"""DAYANIQLI VƏ OPERATİV SOSİAL TƏMİNAT AGENTLİYİ"" PUBLİK HÜQUQİ ŞƏXSİ","Bakı ş., İ.Qutqaşınlı 86.",366,active | awarded | cancelled | other,352983 | 352981 | 352373 | 352372 | 351425,2026-05-26,2026/AT/02630/V1,etender.gov.az/main/competitions
