id,voen,supplier_name,contract_count,total_amount_azn,last_contract_date,tender_types,buyer_examples,source
etender-sup-1,9900038501,Qəbələ Rayon İcra Hakimiyyəti Başçısının Məlikli kənd İƏN ilə Aztelekom MMC-nin Dağlıq Şirvan Regional Filialının Qəbələ Şöbəsi ,3149,6744805.68,2026-12-05,Birbaşa | Bir mənbə | Kotirovka | Açıq Tender | İki mərhələli tender | Məhdud tender | -,LƏNKƏRAN SU MELİORASİYA SİSTEMLƏRİNİN İSTİSMARI İDARƏSİ | GÖYGÖL RAYONU İCRA HAKİMİYYƏTİ | AZƏRBAYCAN RESPUBLİKASI MƏDƏNİYYƏT NAZİRLİYİNİN DAĞLIQ ŞİRVAN REGİONAL MƏDƏNİYYƏT  İDARƏSİ | Şamaxı Rayon İcra Hakimiyyəti | AZƏRBAYCAN RESPUBLİKASI TƏHSİL NAZİRLİYİ ABŞERON-XIZI REGİONAL TƏHSİL İDARƏSİ,etender.gov.az/api/contracts
etender-sup-2,9900048721,“Azərbaycan Respublikası Rəqəmsal İnkişaf və Nəqliyyat Nazirliyinin   strukturuna daxil olmayan tabeli qurumu “AzİnTelecom” Məhdud Məsuliyyətli Cəmiyyətinə,1448,23593621.48,2026-06-25,Birbaşa | Bir mənbə | Açıq Tender | Kotirovka | Təkliflər sorğusu,"MARİONET TEATRI | LƏNKƏRAN REGİONAL TURİZM İDARƏSİ | RESPUBLIKA LEPROZ (CÜZƏM) XƏSTƏXANASI | ""2019-2023-CÜ İLLƏR ÜÇÜN AZƏRBAYCAN RESPUBLİKASINDA ALİ TƏHSİL SİSTEMİNİN BEYNƏLXALQ RƏQABƏTLİLİYİNİN ARTIRILMASI ÜZRƏ DÖVLƏT PROQRAMI"" NIN İDARƏETMƏ QRUPU | AZƏRBAYCAN RESPUBLİKASININ İQTİSADİYYAT NAZİRLİYİ YANINDA DÖVLƏT VERGİ XİDMƏTİ",etender.gov.az/api/contracts
etender-sup-3,1300149611,Maliyyə və mühasibatlıq əməliyyatlarının avtomatlaşdırılması üzrə proqram təminatının (SERP) modullarına texniki dəstək xidmətlərinin satın alınması ,861,47492154.40,2026-05-21,"Bir mənbə | Birbaşa | Açıq Tender | Kotirovka | Təkliflər sorğusu | Açıq Tender (3,0 milyon ABŞ dollarının manat ekvivalentindən çox) | -","BAKI  APELLYASİYA   MƏHKƏMƏSİ | M.F.AXUNDOV ADINA MİLLİ KİTABXANA | ""BİLƏSUVAR RAYON MƏRKƏZİ XƏSTƏXANASI"" PUBLİK HÜQUQİ ŞƏXSİ | ""GÖYÇAY RAYON MƏRKƏZİ XƏSTƏXANASI"" PUBLİK HÜQUQİ ŞƏXSİ | ""GORANBOY RAYON MƏRKƏZİ XƏSTƏXANASI"" PUBLİK HÜQUQİ ŞƏXSİ",etender.gov.az/api/contracts
etender-sup-4,1700166231,“Elmi-Tədqiqat və Statistik İnnovasiyalar Mərkəzi” Məhdud Məsuliyyətli Cəmiyyəti,741,28728862.83,2026-06-23,Bir mənbə | Birbaşa | Açıq Tender | Kotirovka,"""BAKI KONQRES MƏRKƏZİ"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ | ""AZƏRBAYCAN İDMAN AKADEMİYASI"" PUBLİK HÜQUQİ ŞƏXSİ | AZƏRBAYCAN RESPUBLİKASI İQTİSADİYYAT NAZİRLİYİ YANINDA DÖVLƏT VERGİ XİDMƏTİNİN TƏDRİS MƏRKƏZİ | AZƏRBAYCAN RESPUBLİKASI DİN DAXİLİ QOŞUNLAR BAŞ İDARƏSİ | İMİŞLİ RAYONU İCRA HAKİMİYYƏTİ",etender.gov.az/api/contracts
etender-sup-5,1605401091,"""OFİS-A.M."" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ",641,10284903.76,2026-06-25,Kotirovka | Bir mənbə | Birbaşa | Açıq Tender,"AZƏRBAYCAN MİLLİ ELMLƏR AKADEMİYASININ MEMARLIQ VƏ İNCƏSƏNƏT İNSTİTUTU | ""AZELAB"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ | AZƏRBAYCAN RESPUBLİKASININ  EKOLOGİYA VƏ TƏBİİ SƏRVƏTLƏR NAZİRLİYİ | ŞƏKİ SU MELİORASİYA SİSTEMLƏRİNİN İSTİSMARI İDARƏSİ | AZƏRBAYCAN RESPUBLİKASI EKOLOGİYA VƏ TƏBİİ SƏRVƏTLƏR NAZİRLİYİNİN  XƏZƏR KOMPLEKS EKOLOJİ MONİTORİNQ İDARƏSİ",etender.gov.az/api/contracts
etender-sup-6,1700218631,""" Azəronline LTD "" Birgə Müəssisəsi",536,475335.76,2026-07-24,Bir mənbə | Birbaşa | Kotirovka | Açıq Tender,"AĞCABƏDİ RAYON İCRA HAKİMİYYƏTİ | DAŞKƏSƏN SU MELİORASİYA SİSTEMLƏRİNİN İSTİSMARI İDARƏSİ | ""SALYAN ŞƏHƏR YAŞILLAŞDIRMA"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ | KƏLBƏCƏR RAYON İCRA HAKİMİYYƏTİ | YARDIMLI SU MELİORASİYA SİSTEMLƏRİNİN İSTİSMARI İDARƏSİ",etender.gov.az/api/contracts
etender-sup-7,9900037711,AZTELECOM MMC-nin Dağlıq Şirvan  Regional İdarəsinin Qəbələ rayon Şöbəsi                                                                                                   Regional Filialının Qəbələ şöbəs,463,1743939.53,2026-06-23,Kotirovka | Açıq Tender | Birbaşa | Bir mənbə | Təkliflər sorğusu,ŞƏKİ XALQ TƏTBİQİ SƏNƏTİ MUZEYİ | AZƏRBAYCAN RESPUBLİKASININ KƏND TƏSƏRRÜFATI NAZİRLİYİ ŞƏMKİR DÖVLƏT AQRAR İNKİŞAF MƏRKƏZİ | BİLƏSUVAR RAYON DÖVLƏT YANĞINDAN MÜHAFİZƏ HİSSƏSİ | MƏNZİL TƏSƏRRÜFAT VƏ ABADLAŞDIRMA İDARƏSİ (DÖVLƏT MÜƏSSİSƏSİ) | AZƏRBAYCAN RESPUBLİKASI KƏND TƏSƏRRÜFATI NAZİRLİYİNİN HEYVANDARLIQ ELMİ-TƏDQİQAT İNSTİTUTU,etender.gov.az/api/contracts
etender-sup-8,0000000000,MSC ULUSLAR ARASI BELGELENDİRME TEKNİK KONTROL VE ÖZEL EĞİTİM HİZMETLERİ DIŞ TİCARET LİMİTED ŞİRKETİ,461,82884525.17,2026-06-25,"Bir mənbə | Birbaşa | Açıq Tender (3,0 milyon ABŞ dollarının manat ekvivalentindən çox) | -","AZERBAYCAN RESPUBLİKASI KƏND TƏSƏRRÜFATI NAZİRLİYİNİN TABELİYİNDƏ DÖVLƏT TOXUM FONDU | AZƏRBAYCAN TİBB UNİVERSİTETİ | AZƏRBAYCAN RESPUBLİKASININ RƏQƏMSAL İNKİŞAF VƏ NƏQLİYYAT NAZİRLİYİ | AZƏRBAYCAN RESPUBLİKASININ TƏHSİL İNSTİTUTU | ""DÖVLƏT MÜLKİ AVİASİYA AGENTLİYİ"" PUBLİK HÜQUQİ ŞƏXSİ",etender.gov.az/api/contracts
etender-sup-9,9900069391,"Azərişıq Asc adından ""Asan Xidmət""lə İş və Elektron İdarəetmə Departamenti",419,9801670.35,2026-06-01,Birbaşa | Bir mənbə | Kotirovka | Açıq Tender,"ŞABRAN SUVARMA SİSTEMLƏRİ İDARƏSİ | KÜRDƏMİR RAYON GİGİYENA VƏ EPİDEMOLOGİYA MƏRKƏZİ | ""AZƏRİDMANSERVİS"" MƏHDUD MƏSULİYYƏTLİ CƏMİYYƏTİ | ""ŞABRAN RAYON MƏRKƏZİ XƏSTƏXANASI"" PUBLİK HÜQUQİ ŞƏXSİ | AZƏRBAYCAN RESPUBLİKASI KƏND TƏSƏRRÜFATI NAZİRLİYİ HACIQABUL DÖVLƏT AQRAR İNKİŞAF MƏRKƏZİ",etender.gov.az/api/contracts
etender-sup-10,9900001881," ""Azərbaycan Metrologiya İnstitutu"" Publik Hüquqi Şəxsin tabeliyindəki ""Kommunal Laborotoriyalar"" Məhdud Məsuliyyətli Cəmiyyəti",419,105765615.26,2026-05-07,"Açıq Tender | Birbaşa | Bir mənbə | Açıq Tender (3,0 milyon ABŞ dollarının manat ekvivalentindən çox) | Kotirovka | -","NAXÇIVAN MUXTAR RESPUBLİKASININ ƏMƏK VƏ ƏHALİNİN SOSİAL MÜDAFİƏSİ NAZİRLİYİNİN TABELİYİNDƏ DÖVLƏT SOSİAL MÜDAFİƏ FONDU PUBLİK HÜQUQİ ŞƏXSİ | ""QUBA RAYON MƏRKƏZİ XƏSTƏXANASI"" PUBLİK HÜQUQİ ŞƏXSİ | GƏNCƏ TİBB KOLLECİ | ""AZƏRBAYCAN İDMAN AKADEMİYASI"" PUBLİK HÜQUQİ ŞƏXSİ | XAÇMAZ RAYON STATİSTİKA İDARƏSİ",etender.gov.az/api/contracts
