id,name,entry_type,letter_group,org_kind,wikipedia_url,category_path,category_paths,found_in_category_url,source,source_url
gov-0001,Antiinhisar və İstehlak Bazarına Nəzarət Dövlət Agentliyi,organization,,agency,https://az.wikipedia.org/wiki/Antiinhisar_v%C9%99_%C4%B0stehlak_Bazar%C4%B1na_N%C9%99zar%C9%99t_D%C3%B6vl%C9%99t_Agentliyi,Azərbaycanın dövlət təşkilatları,Azərbaycanın dövlət təşkilatları,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1,az.wikipedia.org,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1
gov-0002,ASAN xidmət,organization,,public_service_center,https://az.wikipedia.org/wiki/ASAN_xidm%C9%99t,Azərbaycanın dövlət təşkilatları,Azərbaycanın dövlət təşkilatları | Azərbaycanın dövlət təşkilatları > ASAN xidmət,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1,az.wikipedia.org,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1
gov-0003,Azərbaycan Avtomobil Yolları Dövlət Agentliyi,organization,,agency,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Avtomobil_Yollar%C4%B1_D%C3%B6vl%C9%99t_Agentliyi,Azərbaycanın dövlət təşkilatları,Azərbaycanın dövlət təşkilatları,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1,az.wikipedia.org,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1
gov-0004,Azərbaycan Gənclər Fondu,organization,,fund,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_G%C9%99ncl%C9%99r_Fondu,Azərbaycanın dövlət təşkilatları,Azərbaycanın dövlət təşkilatları,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1,az.wikipedia.org,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1
gov-0005,Azərbaycan İnformasiya və Kommunikasiya Texnologiyaları Sənayesi Assosiasiyası,organization,,state_body,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_%C4%B0nformasiya_v%C9%99_Kommunikasiya_Texnologiyalar%C4%B1_S%C9%99nayesi_Assosiasiyas%C4%B1,Azərbaycanın dövlət təşkilatları,Azərbaycanın dövlət təşkilatları | Azərbaycanın dövlət təşkilatları > Azərbaycan nazirlikləri > Azərbaycan Ədliyyə Nazirliyi | Azərbaycanın dövlət təşkilatları > Azərbaycan nazirlikləri > Rəqəmsal İnkişaf və Nəqliyyat Nazirliyi (Azərbaycan),https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1,az.wikipedia.org,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1
gov-0006,"Azərbaycan Respublikası Müharibə, Əmək və Silahlı Qüvvələr Veteranları Təşkilatı",organization,,state_body,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_M%C3%BCharib%C9%99%2C_%C6%8Fm%C9%99k_v%C9%99_Silahl%C4%B1_Q%C3%BCvv%C9%99l%C9%99r_Veteranlar%C4%B1_T%C9%99%C5%9Fkilat%C4%B1,Azərbaycanın dövlət təşkilatları,Azərbaycanın dövlət təşkilatları,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1,az.wikipedia.org,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1
gov-0007,Azərbaycan Respublikasının Hesablama Palatası,organization,,chamber,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1n%C4%B1n_Hesablama_Palatas%C4%B1,Azərbaycanın dövlət təşkilatları,Azərbaycanın dövlət təşkilatları,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1,az.wikipedia.org,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1
gov-0008,Azərbaycan Respublikasının Əqli Mülkiyyət Agentliyi,organization,,agency,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1n%C4%B1n_%C6%8Fqli_M%C3%BClkiyy%C9%99t_Agentliyi,Azərbaycanın dövlət təşkilatları,Azərbaycanın dövlət təşkilatları,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1,az.wikipedia.org,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1
gov-0009,Azərbaycan Xəzər Dəniz Gəmiçiliyi,organization,,shipping,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_X%C9%99z%C9%99r_D%C9%99niz_G%C9%99mi%C3%A7iliyi,Azərbaycanın dövlət təşkilatları,Azərbaycanın dövlət təşkilatları | Azərbaycanın dövlət təşkilatları > Azərbaycan Xəzər Dəniz Gəmiçiliyi,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1,az.wikipedia.org,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1
gov-0010,Azərlotereya,organization,,lottery,https://az.wikipedia.org/wiki/Az%C9%99rlotereya,Azərbaycanın dövlət təşkilatları,Azərbaycanın dövlət təşkilatları,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1,az.wikipedia.org,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1
gov-0011,Bakı Beynəlxalq Multikulturalizm Mərkəzi,organization,,center,https://az.wikipedia.org/wiki/Bak%C4%B1_Beyn%C9%99lxalq_Multikulturalizm_M%C9%99rk%C9%99zi,Azərbaycanın dövlət təşkilatları,Azərbaycanın dövlət təşkilatları,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1,az.wikipedia.org,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1
gov-0012,Bakı Şəhər Mədəniyyət Baş İdarəsi,organization,,state_body,https://az.wikipedia.org/wiki/Bak%C4%B1_%C5%9E%C9%99h%C9%99r_M%C9%99d%C9%99niyy%C9%99t_Ba%C5%9F_%C4%B0dar%C9%99si,Azərbaycanın dövlət təşkilatları,Azərbaycanın dövlət təşkilatları | Azərbaycanın dövlət təşkilatları > Azərbaycan nazirlikləri > Azərbaycan Mədəniyyət Nazirliyi,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1,az.wikipedia.org,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1
gov-0013,Beynəlxalq Münasibətlərin Təhlili və Multikulturalizm Mərkəzi,organization,,center,https://az.wikipedia.org/wiki/Beyn%C9%99lxalq_M%C3%BCnasib%C9%99tl%C9%99rin_T%C9%99hlili_v%C9%99_Multikulturalizm_M%C9%99rk%C9%99zi,Azərbaycanın dövlət təşkilatları,Azərbaycanın dövlət təşkilatları,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1,az.wikipedia.org,https://az.wikipedia.org/wiki/Kateqoriya%3AAz%C9%99rbaycan%C4%B1n_d%C3%B6vl%C9%99t_t%C9%99%C5%9Fkilatlar%C4%B1
