brand_name,legal_name,city,address,lat,lng,phone,email,website,voen,stars_grade,tims_status,tims_id,tims_rating,insurance,service_languages,subcategory,sources,azeritour_url,description,pms_detected,pms_confidence,booking_signals,photo_url,created_at,updated_at
Babir Qrup,Babir Qrup,Abşeron,"Fatmayı, Azerbaijan",40.5272818,49.8463508,994556652989,f_agalarov@inbox.ru,,3101971442,,APPROVED,6611007ee4f5ddcab3cdacc9,,No,,Şəhər Hoteli,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240406115750t-r0000118830,2024-04-06T07:57:50.075Z,2025-04-29T11:56:56.486Z
Nostalji Hotel,Nostalji Hotel,Abşeron,Azerbaijan,40.143105,47.576927,+994503106401,mahira.tarana87@gmail.com,,3100009031,,APPROVED,698a1e7b0954c909d51071f5,,No,,,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20260209215051t-r0000137502,2026-02-09T17:50:51.066Z,2026-03-12T12:49:01.780Z
OLİMPİK OTEL,OLİMPİK OTEL,Abşeron,"Novxanı, Azerbaijan",40.52564330000001,49.7831634,994507173000,ceferov.mahmud5@mail.ru,,1308520151,,APPROVED,6606e02ce4f5ddcab3cda133,,No,,,TIMS + azeritour.az,https://azeritour.az/olympic-novkhani-hotel/,Карта сайта,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240329193716t-r0000177931,2024-03-29T15:37:16.318Z,2025-04-29T11:56:56.486Z
SALT OTEL,SALT OTEL,Abşeron,"40.491219, 49.829445",40.4909784,49.8291781,994502070605,Natiq_quliyev_1981@mail.ru,https://www.instagram.com/salt_hotel_mehdiabad/,1803880442,,APPROVED,65f96d2ce4f5ddcab3cd99df,,No,,,TIMS,,,Oracle OPERA; 1C,website_scan,Oracle OPERA; 1C,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240319144708t-r0000167222,2024-03-19T10:47:08.597Z,2025-04-29T11:56:56.486Z
1001 GECƏ HOSTEL,1001 GECƏ HOSTEL,Astara,"Həzi Aslanov, Astara, Azerbaijan",38.4783985,48.8757719,994252253794,1001ASTARA@MAIL.RU,,3700056502,,APPROVED,6463d15c9bff11407fb6a3f7,,No,,Hostel,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20230516225420t-r0000164589,2023-05-16T18:54:20.298Z,2025-04-29T11:56:56.486Z
Astara Hotel,Astara Hotel,Astara,"Astara, Azerbaijan",38.4687834,48.8728029,994502222846,mohletnajafov@gmail.com,,3700167812,,APPROVED,64e77368c29cd31ed97857ee,,No,,Hostel,TIMS + azeritour.az,https://azeritour.az/askar_hotel_baku,"Askar Hotel расположен в городе Баку, недалеко от Центр Гейдара Алиева. В отеле есть ресторан, бар, номера для некурящих, фитнес-центр, развлечения, SPA, круглосуточная стойка регистрации, банкетный зал, конференц-зал и большой спектр предоставляемых услуг. Также парковка, трансфер с аэропорта и обратно, прокат автомобилей и велосипедов и многое другое.",,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20230824191239t-r0000194857,2023-08-24T15:12:40.265Z,2025-04-29T11:56:56.486Z
Astara Olimpiya İdman Kompleksi,Astara Olimpiya İdman Kompleksi,Astara,"Astara Olimpiya İdman Kompleksi, Astara, Azerbaijan",38.486039,48.8708714,994515912352,astaraoik@gmail.com,,3700323531,,APPROVED,660eac35e4f5ddcab3cdaa37,,No,,Hostel,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240404173341t-r0000137915,2024-04-04T13:33:41.806Z,2025-04-29T11:56:56.486Z
Astara Relax Beach,Astara Relax Beach,Astara,"2 Ziya Bünyadov, Astara, Azerbaijan",38.4640018,48.8772313,994502022039,dgk.cami@mail.ru,,1701324302,,APPROVED,650aef1fc29cd31ed97860d8,,No,,"Kottec tipli yerləşmə vasitələri (Kottec, dağ evi, bungalov, chalet)",TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20230920170950t-r0000180976,2023-09-20T13:09:51.078Z,2025-04-29T11:56:56.486Z
Bağçalı Villa,Bağçalı Villa,Astara,"Maricel Astara Resort, Astara, Azerbaijan",38.4527986,48.8786443,994102527100,elvinelik7@gmail.com,,3700217532,,APPROVED,667e73e7fc166e6e14e9effd,,No,,Qonaq evi,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240628122718t-r0000151863,2024-06-28T08:27:19.060Z,2025-04-29T11:56:56.486Z
Book İnn,Book İnn,Astara,"Book Inn, 28 may küçəsi, Astara, Azerbaijan",38.4498653,48.8790141,994102527100,bookinnboutique@gmail.com,,3700217532,,APPROVED,663236cce4f5ddcab3cdd3fe,,No,,Qonaq evi,TIMS,,,,,,https://data.tourism.gov.az/proxy/stakeholder/getFile/20240501163420t-r0000125502,2024-05-01T12:34:20.617Z,2025-04-29T11:56:56.486Z
