match_status,search_query,voen,tax_name,tax_legal_address,tax_legitimate,tax_legal_form,tax_charter_capital,tax_voen_registered_at,tax_state_registered_at,tax_status,tax_active,tax_vat_payer,tax_risky_payer,tax_debt,tax_authority,tax_organization_type,donor_sectors,donor_ids,donor_search_names,donor_names,donor_cities,donor_addresses,donor_phones,donor_emails,donor_websites,donor_voens,donor_categories,donor_extra_json,tax_extract_date,tax_financial_year_start,tax_financial_year_end,tax_sanctions,tax_raw_json
no_tax_match,Babir Qrup | Babir-Qrup | Babir | Qrup,3101971442,,,,,,,,,,,,,,,hotels,hotel-1,Babir Qrup,,Abşeron,"Fatmayı, Azerbaijan",994556652989,f_agalarov@inbox.ru,,3101971442,Şəhər Hoteli,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,SALT OTEL | SALT-OTEL | SALT | OTEL,1803880442,,,,,,,,,,,,,,,hotels,hotel-4,SALT OTEL,,Abşeron,"40.491219, 49.829445",994502070605,Natiq_quliyev_1981@mail.ru,https://www.instagram.com/salt_hotel_mehdiabad/,1803880442,,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":""Oracle OPERA; 1C"",""sources"":""TIMS""}",,,,,
no_tax_match,1001 GECƏ HOSTEL | 1001-GECƏ-HOSTEL | HOSTEL | GECƏ | GECƏ HOSTEL | GECƏ-HOSTEL,3700056502,,,,,,,,,,,,,,,hotels,hotel-5,1001 GECƏ HOSTEL,,Astara,"Həzi Aslanov, Astara, Azerbaijan",994252253794,1001ASTARA@MAIL.RU,,3700056502,Hostel,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,Astara Hotel | Astara-Hotel | Astara | Hotel,3700167812,,,,,,,,,,,,,,,hotels,hotel-6,Astara Hotel,,Astara,"Astara, Azerbaijan",994502222846,mohletnajafov@gmail.com,,3700167812,Hostel,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS + azeritour.az""}",,,,,
no_tax_match,Astara Relax Beach | Astara-Relax-Beach | Astara | Relax | Beach | Astara Relax | Astara-Relax | Astara Beach,1701324302,,,,,,,,,,,,,,,hotels,hotel-8,Astara Relax Beach,,Astara,"2 Ziya Bünyadov, Astara, Azerbaijan",994502022039,dgk.cami@mail.ru,,1701324302,"Kottec tipli yerləşmə vasitələri (Kottec, dağ evi, bungalov, chalet)","{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,Bağçalı Villa | Bağçalı-Villa | Bağçalı | Villa,3700217532,,,,,,,,,,,,,,,hotels,hotel-9,Bağçalı Villa,,Astara,"Maricel Astara Resort, Astara, Azerbaijan",994102527100,elvinelik7@gmail.com,,3700217532,Qonaq evi,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,Book İnn | Book-İnn | Book | İnn,3700217532,,,,,,,,,,,,,,,hotels,hotel-10,Book İnn,,Astara,"Book Inn, 28 may küçəsi, Astara, Azerbaijan",994102527100,bookinnboutique@gmail.com,,3700217532,Qonaq evi,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,Eftalya ailəvi istirahət mərkəzi | Eftalya-ailəvi-istirahət-mərkəzi | istirahət | Eftalya | ailəvi | Eftalya ailəvi | Eftalya-ailəvi | Eftalya istirahət,4401336472,,,,,,,,,,,,,,,hotels,hotel-11,Eftalya ailəvi istirahət mərkəzi,,Astara,"Astalanya City, Azerbaijan",994103178059,elmir03@mail.ru,,4401336472,Rezort Hotel,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
no_tax_match,Khazri Qonaq evi / Guest house | Khazri-Qonaq-evi-/-Guest-house | Khazri | Qonaq | Guest | house | evi | Khazri Qonaq,3700081032,,,,,,,,,,,,,,,hotels,hotel-12,Khazri Qonaq evi / Guest house,,Astara,"Astara, Azerbaijan",994502414847,sahinmusa9779@gmail.com,https://instagram.com/khazri_qonaqevi,3700081032,Qonaq evi,"{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":""Oracle OPERA; 1C"",""sources"":""TIMS""}",,,,,
no_tax_match,Sahil istirahət mərkəzi | Sahil-istirahət-mərkəzi | istirahət | Sahil | Sahil istirahət | Sahil-istirahət | mərkəzi,3700173362,,,,,,,,,,,,,,,hotels,hotel-15,Sahil istirahət mərkəzi,,Astara,"Sahil Restoran & Apartments, Astara, Azerbaijan",994504601406,azadmikayilov@mail.rug,,3700173362,"Kottec tipli yerləşmə vasitələri (Kottec, dağ evi, bungalov, chalet)","{""stars_grade"":"""",""tims_status"":""APPROVED"",""pms_detected"":"""",""sources"":""TIMS""}",,,,,
