id,name,firm_type,registry_number,director,city,address,phones,email,community_id,lawyers_search_url,has_cabinets,source,source_url
customs-broker-001,"""Labservis LTD"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,1,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-002,"""Hedef Customs Service"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,2,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-003,"""Bakı Yük"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,3,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-004,"""My Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,4,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-005,"""Mb Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,5,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-006,"""Karvan Logistics-R"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,6,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-007,"""Contaker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,7,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-008,"""Transglobal Logistics Services"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,8,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-009,"""Multimodal Global Logistics Limited"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,9,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-010,"""Sr Customs Services"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,10,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-011,"""Sr Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,11,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-012,"""Atik"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,12,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-013,"""Everest Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,13,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-014,"""Smart Broker 001"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,14,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-015,"""Vostoçnaya Karta Az."" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,15,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-016,"""Ruleveyv Azərbaycan Şippinq End Forvarding LTD"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,16,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-017,"""Global Goal"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,17,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-018,"""Azbroker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,18,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-019,"""Baş Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,19,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-020,"""Agl"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,20,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-021,"""Baku Customs Service"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,21,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-022,"""Y.G.B."" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,22,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-023,"""Express Customs Services"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,23,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-024,"""Proqres Balans"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,24,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-025,"""İnternational Customs Service"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,25,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-026,"""Azerbaijan Brokerage Services"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,26,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-027,"""Transbroker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,27,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-028,"""Karvan Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,28,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-029,"""Delta-SP"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,29,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-030,"""Terminal-C"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,30,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-031,"""Ard Logistics"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,31,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-032,"""Eon Audit"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,32,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-033,"""Baku Customs Vvorks"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,33,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
customs-broker-034,"""Star Broker"" Məhdud Məsuliyyətli Cəmiyyəti",customs_broker,34,,,,,,,,,customs.gov.az,https://customs.gov.az/uploads/representative/7/2e69c2ce14c4bbb93388ea4a58387f2f.pdf
