id,list_number,name,entity_type,legal_form,activity_types,is_operator,is_internet_provider,is_host_provider,website,source,source_url
telecom-001,1,Intra Network System,company,MMC,Host provayderi,no,no,yes,,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-002,2,Our Technology,company,MMC,Host provayderi,no,no,yes,https://www.ourhost.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-003,3,Global Technology Services,organization,,Host provayderi,no,no,yes,https://www.gtservices.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-004,4,Caspinet,company,MMC,Host provayderi,no,no,yes,,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-005,5,Rəhimli Mürvət Asif Oğlu,individual,,Host provayderi,no,no,yes,,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-006,6,Mikrotex,company,MMC,Host provayderi,no,no,yes,,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-007,7,Şıxıyev Hüseyn Mehman Oğlu,individual,,Host provayderi,no,no,yes,https://my.senseihost.com,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-008,8,Az-evro Tel,company,MMC,"Operator, internet provayderi, host provayderi",yes,yes,yes,https://www.azeurotel.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-009,9,Bakı Telefon Rabitəsi,company,MMC,Operator,yes,no,no,https://www.baktelecom.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-010,10,Aztelekom,company,MMC,Operator,yes,no,no,https://www.aztelekom.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-011,11,Azercell Telekom,company,MMC,Operator,yes,no,no,https://www.azercell.com,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-012,12,Eurosel,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.eurosel.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-013,13,Konnekt,company,QSC,"Operator, internet provayderi",yes,yes,no,https://www.connect.az/az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-014,14,Transevrokom,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.transeurocom.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-015,15,Azeronline Ltd,company,BM,"Operator, internet provayderi",yes,yes,no,https://www.azeronline.com,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-016,16,Alfanet,company,MMC,"Operator, internet provayderi, host provayderi",yes,yes,yes,https://www.alfanet.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-017,17,Bulud Telecom,company,MMC,"Operator, internet provayderi",yes,yes,no,https://buludtelecom.com,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-018,18,Kaspian Telekom,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.castel.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-019,19,Sparktel,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.sparktel.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-020,20,Data Plus,company,MMC,İnternet provayderi,no,no,no,,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-021,21,Ultel,company,MMC,"Operator, internet provayderi, host provayderi",yes,yes,yes,https://www.ultel.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
telecom-022,22,Proksi,company,MMC,"Operator, internet provayderi",yes,yes,no,https://www.proksi.az,az.wikipedia.org,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_operator_v%C9%99_provayderl%C9%99rinin_siyah%C4%B1s%C4%B1
