id,company_name,phone,email,city,source,source_id,extra_json
travel-0001,"""Star Travel"" Turizm Agentliyi",(070) 9321333,,Bakı,turlar.az,turlar-0001,"{""sources"": [""turlar.az""], ""profile_url"": ""https://turlar.az/me/star-travel-turizm-agentliyi-1224"", ""listings_count"": ""40"", ""description_snippet"": ""&quot;Star Travel&quot; - Turizm sahəsində 7 ildən artıq təcrübəsi olan, turizm istiqamətləri üzrə ixtisaslaşmı"", ""alt_values"": {""profile_url"": [""https://turlar.az/me/star-travel-375""], ""listings_count"": [""""], ""description_snippet"": [""Aviabiletlərin satışı""]}}"
travel-0002,''Prestige Travel Company'' MMC,,,Bakı,trippost.az,trippost-0001,"{""sources"": [""trippost.az""], ""profile_url"": ""https://trippost.az/turizm-sirketleri/prestige-travel-company-mmc/"", ""slug"": ""prestige-travel-company-mmc"", ""tagline"": """"}"
travel-0003,1001 kurort,,,Bakı,ew_travel_agencies_xlsx,2117152,"{""source_file"": ""c:\\Users\\ASUS G752VT\\Downloads\\EW\\Travel Agencies.xlsx"", ""ew_ids"": [""2117152"", ""2117151""], ""agent_codes"": [""1001 kurort leisure"", ""1001 kurort medical""], ""rate_codes"": [""Daily Rates"", ""Medical Rates (medikal +FB)""], ""sales_reps"": [""Emil Hesenov""], ""is_company"": [], ""passive"": [], ""grey_list"": [false, false], ""excel_row_count"": 2, ""sources"": [""ew_travel_agencies_xlsx""]}"
travel-0004,365 TOURİSM,,,Bakı,trippost.az,trippost-0002,"{""sources"": [""trippost.az""], ""profile_url"": ""https://trippost.az/turizm-sirketleri/365-tourism/"", ""slug"": ""365-tourism"", ""tagline"": """"}"
travel-0005,4 Ways Travel,,,Bakı,turlar.az,turlar-0002,"{""sources"": [""turlar.az""], ""profile_url"": ""https://turlar.az/me/4-ways-travel-1277"", ""listings_count"": """", ""description_snippet"": ""4 Ways Travel şirkəti sizə güvənilir və keyfiyyətli turlar təqdim edir. İstirahətinizi gözəl keçirmə""}"
travel-0006,Absheron Travel,,,Bakı,trippost.az,trippost-0003,"{""sources"": [""trippost.az""], ""profile_url"": ""https://trippost.az/turizm-sirketleri/absheron-travel/"", ""slug"": ""absheron-travel"", ""tagline"": """"}"
travel-0007,ABV MMC,,,Bakı,ew_travel_agencies_xlsx,2145872,"{""source_file"": ""c:\\Users\\ASUS G752VT\\Downloads\\EW\\Travel Agencies.xlsx"", ""ew_ids"": [""2145872"", ""2145876""], ""agent_codes"": [""ABV MMC leisure"", ""ABV MMC medical""], ""rate_codes"": [""Daily Rates"", ""Medical Rates (medikal +FB)""], ""sales_reps"": [], ""is_company"": [true, true], ""passive"": [], ""grey_list"": [false, false], ""excel_row_count"": 2, ""sources"": [""ew_travel_agencies_xlsx""]}"
travel-0008,Access Travel,,,Bakı,trippost.az,trippost-0004,"{""sources"": [""trippost.az""], ""profile_url"": ""https://trippost.az/turizm-sirketleri/access-travel/"", ""slug"": ""access-travel"", ""tagline"": """"}"
travel-0009,Ada Travel,0507971001,adatravelll@gmail.com,Bakı,ew_travel_agencies_xlsx,2281175,"{""source_file"": ""c:\\Users\\ASUS G752VT\\Downloads\\EW\\Travel Agencies.xlsx"", ""ew_ids"": [""2281175""], ""agent_codes"": [""Ada Travel medical""], ""rate_codes"": [""Medical Rates (medikal +FB)""], ""sales_reps"": [""Nərgiz xanım""], ""is_company"": [], ""passive"": [], ""grey_list"": [false], ""excel_row_count"": 1, ""sources"": [""ew_travel_agencies_xlsx""]}"
travel-0010,ADƏMOĞLU TOUR MMC,,,Bakı,turlar.az,turlar-0003,"{""sources"": [""turlar.az""], ""profile_url"": ""https://turlar.az/me/ademoglu-tour-mmc-1343"", ""listings_count"": """", ""description_snippet"": ""ADƏMOĞLU TOUR MMC şirkəti 2017-ci ildən fəaliyət görstərir məşəd Kərbəla ümrə həc və Azərbaycan daxilind""}"
