id,name,phone,profile_url,listings_count,description_snippet,source,source_url
turlar-0001,"""Star Travel"" Turizm Agentliyi",(070) 9321333,https://turlar.az/me/star-travel-turizm-agentliyi-1224,40,"&quot;Star Travel&quot; - Turizm sahəsində 7 ildən artıq təcrübəsi olan, turizm istiqamətləri üzrə ixtisaslaşmı",turlar.az,https://turlar.az/shops
turlar-0002,4 Ways Travel,,https://turlar.az/me/4-ways-travel-1277,,4 Ways Travel şirkəti sizə güvənilir və keyfiyyətli turlar təqdim edir. İstirahətinizi gözəl keçirmə,turlar.az,https://turlar.az/shops
turlar-0003,ADƏMOĞLU TOUR MMC,,https://turlar.az/me/ademoglu-tour-mmc-1343,,ADƏMOĞLU TOUR MMC şirkəti 2017-ci ildən fəaliyət görstərir məşəd Kərbəla ümrə həc və Azərbaycan daxilind,turlar.az,https://turlar.az/shops
turlar-0004,Al-Murtaza Travel MMC,,https://turlar.az/me/al-murtaza-travel-mmc-1136,,"Ən ucuz Aviabiletlərin Təşkili Kərbəla,Məşhəd,Ümrə,Əshabi Kəfh Daxili Ziyarətlər,Xarici Ziyarətlər,Daxil",turlar.az,https://turlar.az/shops
turlar-0005,All Time Travel,,https://turlar.az/me/all-time-travel-1349,,Xarici Turlar. Daxili Turlar. Tur Paketlər. Aviabilet. Siğorta,turlar.az,https://turlar.az/shops
turlar-0006,ALTUR,,https://turlar.az/me/altur-1211,1,Seyahət Bizimlə Daha Sərfəli,turlar.az,https://turlar.az/shops
turlar-0007,ALVIN TRAVEL MMC,,https://turlar.az/me/alvin-travel-mmc-1241,,Xarici və Daxili turların ən inonativ turizm agentliyi,turlar.az,https://turlar.az/shops
turlar-0008,Antik Travel,(051) 6642497,https://turlar.az/me/antik-travel-1350,20,Unudulmaz səyahət təcrübələri təklif edirik,turlar.az,https://turlar.az/shops
turlar-0009,Arzu Travel,,https://turlar.az/me/arzu-travel-1460,14,"Sərfəli qiymətlərlə Arzu Travel kimi təcrübəli səyahət təşkilatçısı Daxili turlar,xarici turlar, aviabilet",turlar.az,https://turlar.az/shops
turlar-0010,ARZUM~TRAVEL ÖLKƏ DAXİLİ VƏ XARİCİ TURLAR,(077) 7480717,https://turlar.az/me/arzumtravel-olke-daxili-ve-xarici-turlar-1245,40,"ARZUM~TRAVEL ölkədaxili turların , məktəbli və qrup turların təşkili, nəqliyyat sifarişi və s. turizm",turlar.az,https://turlar.az/shops
turlar-0011,AVİATURLAR,,https://turlar.az/me/aviaturlar-1126,,Ən sərfəli qiymətlərlə aviabiletlər Və tur pakerin təklifi,turlar.az,https://turlar.az/shops
turlar-0012,AZETRAVEL,,https://turlar.az/me/azetravel-1214,,Bənzərsiz xidmətlər və razı qalan müştərilərimiz sayəsində AZETRAVEL Azərbaycanda ən uğurlu tur operatorlarında,turlar.az,https://turlar.az/shops
turlar-0013,AZETURİZM,,https://turlar.az/me/azeturizm-1313,,"Xarici turlar, Daxili turlar, Qrup turları, ucuz Aviabiletlər, Dünyanın istənilən ölkəsinə Otellər, Səyahə",turlar.az,https://turlar.az/shops
turlar-0014,AZTUR TRAVEL,,https://turlar.az/me/aztur-travel-1283,,"Aztur Travel &quot;2017-cü ildən bəri turizm istiqamətləri üzrə müştərilərə xidmət göstərir, Mənzil-qərargah",turlar.az,https://turlar.az/shops
turlar-0015,BAKU WORLD TRAVEL MMC,,https://turlar.az/me/baku-world-travel-mmc-956,4,&quot;Baku World Travel LLC&quot; sərfəli qiymətlərlə etibarlı səyahətlərin rəsmi ünvanıdır. Qeyd edə,turlar.az,https://turlar.az/shops
turlar-0016,Barat Travel,,https://turlar.az/me/barat-travel-1408,,Müqəddəs Ziyarətlərin Təşkili Məşhəd Kərbəla Ümrə Bakı Ətrafı Ziyarətlər,turlar.az,https://turlar.az/shops
turlar-0017,Best Travel,(055) 7143973,https://turlar.az/me/best-travel-1303,40,"&quot;Best Travel Azerbaijan&quot; kimi təcrübəli səyahət təşkilatçısı, sizi dünya ərazisində maraql",turlar.az,https://turlar.az/shops
turlar-0018,Bilgəh sanatoriyası,(050) 5536466,https://turlar.az/me/bilgeh-sanatoriyasi-1483,2,"Bilgəh sanatoriyası ürək-damar, əsəb və dayaq-hərəkət sistemi xəstəliklərinin müasir bərpa mərkəzidir",turlar.az,https://turlar.az/shops
turlar-0019,Bir Tur Travel MMC,,https://turlar.az/me/bir-tur-travel-mmc-1216,,"Ölkədaxili Turlar (1,2,3,4 günlük) Ölkəxarici Turpaketlər (Hər istiqamətə) Aviabilet və otel bronu Məktəbl",turlar.az,https://turlar.az/shops
turlar-0020,Brand Tour Azerbaijan,(077) 7271095,https://turlar.az/me/brand-tour-azerbaijan-1325,10,Aviabiletlərin satışı. Tur paketlər. Avtobus turları. Müalicəvi turlar. Məktəbli turların təşkili . Otelləri,turlar.az,https://turlar.az/shops
turlar-0021,CamelTravel,(010) 2126512,https://turlar.az/me/cameltravel-1415,16,"Camel Travel turizm şirkəti Azərbaycan daxili və xaricii ölkələrə sərfəli qiymətlərlə rahat , təhlükəsi",turlar.az,https://turlar.az/shops
turlar-0022,Caspian Travel,,https://turlar.az/me/caspian-travel-1382,,Birlikdə səyahət edək!. -Ölkədaxili turlar. -Avtobus icarəsi. -Aviabiletlər. -Tur paketlər,turlar.az,https://turlar.az/shops
turlar-0023,Dasdan Travel,,https://turlar.az/me/dasdan-travel-1357,,"Xidmətinizdəyik: Aviabilet Xarici turlar, Daxili turlar Viza dəstəyi",turlar.az,https://turlar.az/shops
turlar-0024,DOST TRAVEL,,https://turlar.az/me/dost-travel-1172,,DOST TRAVEL Turizm şirkəti 9 ildə göstərdiyi peşəkar xidmətlər ilə ( Ölkə daxili və xarici avtobus turlari,turlar.az,https://turlar.az/shops
turlar-0025,Easy Fly Travel,,https://turlar.az/me/easy-fly-travel-1391,,"Peşəkar tur menecerlərimiz viza dəstəyi,turpaket,bilet və otel rezervasiya xidmətlərini uğurla və güvənl",turlar.az,https://turlar.az/shops
turlar-0026,Eco Travel,,https://turlar.az/me/eco-travel-1404,,Şirkətimiz 8 ildi fəaliyyətdədir.Hal hazırda şirkətimiz də həm daxili həm də xarici turlarımız mövcüddur,turlar.az,https://turlar.az/shops
turlar-0027,Eko Travel,,https://turlar.az/me/eko-travel-1284,52,"&quot;Eko Travel&quot; sizlər üçün Daxili və Xarici Turlar, Şuşa Turu, Aviabletlər,otel rezervasyonları",turlar.az,https://turlar.az/shops
turlar-0028,Ekspres Travel,(070) 7035544,https://turlar.az/me/ekspres-travel-1371,13,Daxili turlar,turlar.az,https://turlar.az/shops
turlar-0029,Empathy Travel,,https://turlar.az/me/empathy-travel-1346,,"Xidmətlərimiz: Ölkə daxili və xarici turlar, viza, transfer, VİP turlar və s. məlumat üçün əlaqə saxlay",turlar.az,https://turlar.az/shops
turlar-0030,EVA TRAVEL,,https://turlar.az/me/eva-travel-326,,"EVA TOURISM şirkəti artıq 11 ildir ki, sizə daha yaxşı xidmət göstərmək məqsədi ilə durmadan çalışır",turlar.az,https://turlar.az/shops
turlar-0031,Fan Travel MMC,,https://turlar.az/me/fan-travel-mmc-1266,,"Peşəkar tur menecerlərimiz viza dəstəyi,turpaket,bilet və otel rezervasiya xidmətlərini uğurla və güvənl",turlar.az,https://turlar.az/shops
turlar-0032,Finance Travel,,https://turlar.az/me/finance-travel-1348,,"Bizə müraciət edərək otel, bilet, sığorta, hazır turlar və viza dəstəyi əldə edə bilərsiniz. İStirahətiniz",turlar.az,https://turlar.az/shops
turlar-0033,FIRST TOUR,,https://turlar.az/me/first-tour-1380,,Ölkədaxili turların təşkili,turlar.az,https://turlar.az/shops
turlar-0034,Four Ways Travel,,https://turlar.az/me/four-ways-travel-1176,,"&quot;Four Ways Travel , Azərbaycanın turistik gözəlliklərini kəşf edənlər üçün ideal bir şirkətdir",turlar.az,https://turlar.az/shops
turlar-0035,Gala Tours Travel,,https://turlar.az/me/gala-tours-travel-1280,,"Ölkədaxili və Ölkəxarici turların təşkili Turlar, Aviabilet , Camping Dini Turlar və Məktəbli turlar",turlar.az,https://turlar.az/shops
turlar-0036,GEDƏK GƏZƏK,,https://turlar.az/me/gedek-gezek-1410,,Ölkədaxili bütün növ turların sərfəli qiymət və yüksək keyfiyyəti ilə xidmətinizdəyik,turlar.az,https://turlar.az/shops
turlar-0037,Ginza Travel,,https://turlar.az/me/ginza-travel-1312,,2017-dən sizinlə - Səyahət hər kəsin haqqıdır !,turlar.az,https://turlar.az/shops
turlar-0038,GO HOLİDAY TRAVEL,,https://turlar.az/me/go-holiday-travel-752,10,? GO HOLIDAY TRAVEL MMC ? Daxili və Xarici Turlar ✨ Yüksək səviyyədə xidmət ? Rəsmi ofisə sahib şirkə,turlar.az,https://turlar.az/shops
turlar-0039,Grand Rent A Car,,https://turlar.az/me/grand-rent-a-car-1345,20,Baki şəhərində fəaliyyət göstərən avtomobil kirayəsi və icarəsi xidmətindən bizim Rent a Car-dan faydalanın,turlar.az,https://turlar.az/shops
turlar-0040,Granit AS Travel,,https://turlar.az/me/granit-as-travel-287,3,"Aviabiletlər, Hotellər, Sanatoriyalar, Daxili və xarici turlar, Viza xidmətləri, Ekskursiyalar, Ren",turlar.az,https://turlar.az/shops
turlar-0041,HAROP TRAVEL,(050) 9888088,https://turlar.az/me/harop-travel-1316,4,"Ölkədaxili Turların təşkili,Ölkədaxili Bütün Hoteller üçün Rezervasiya xidməti,Ölkədaxili və Ölkəxaric",turlar.az,https://turlar.az/shops
turlar-0042,Hicrət Tour,(070) 2558807,https://turlar.az/me/hicret-tour-1397,13,Həcc və Ümrə ziyarətlərinin təşkili,turlar.az,https://turlar.az/shops
turlar-0043,HISAR TOUR,(077) 2091000,https://turlar.az/me/hisar-tour-1204,1,İnanc yönümlü bir şirkət olaraq. Allahın və Rəsulunun qonaqlarına xidmət şüuru ilə dünya müsəlmanların,turlar.az,https://turlar.az/shops
turlar-0044,IZZ Travel,,https://turlar.az/me/izz-travel-1276,,"Bütün dünya üzrə aviabiletlərin satışı, Otellərin bronlaşdırılması, sanatoriyalarin rezervasiyası, viz",turlar.az,https://turlar.az/shops
turlar-0045,İMPERATOR TRAVEL,(055) 4758808,https://turlar.az/me/imperator-travel-1247,40,"&#039;İMPERATOR TRAVEL&quot; sizlər üçün ölkədaxili 1 , 2 və 3 günlük, məktəbli və qrup turları kim",turlar.az,https://turlar.az/shops
turlar-0046,İMPERİAL TRAVEL,(055) 2005215,https://turlar.az/me/imperial-travel-1442,45,"Xarici və daxili turlar ;Ölkədaxili və Dünya üzrə otellərin rezervasiyası &amp; satışı, Aviabiletləri",turlar.az,https://turlar.az/shops
turlar-0047,Jeluxe Travel.,,https://turlar.az/me/jeluxe-travel-215,15,Xarici Turlar Daxili Turlar Transfer Xidmeti Aviabiletlerin satishi Dunyanin istenilen yerine bilet v,turlar.az,https://turlar.az/shops
turlar-0048,Lalasoy Travel,,https://turlar.az/me/lalasoy-travel-1354,,Lalasoy Travel - rahat və daha sərfəli səyahət həyata keçirmək üçün hər zaman sizin xidmətinizdədir,turlar.az,https://turlar.az/shops
turlar-0049,LAV TRANSPORT,,https://turlar.az/me/lav-transport-1420,,Şəhər və ölkə daxili Avtobusların sifarişi.Turların təşkili,turlar.az,https://turlar.az/shops
turlar-0050,Lux Rent a Car Baku,,https://turlar.az/me/lux-rent-a-car-baku-512,,Lux Rent a Car Baku rent car maşınlar hər istəyə uyğun. Hər növ avtomobillərimiz xidmətinizdədir DEPOZİTSİZ,turlar.az,https://turlar.az/shops
turlar-0051,MAGNAT TRAVEL,,https://turlar.az/me/magnat-travel-1311,,MAGNAT TRAVEL - sizə ən güvənilir və keyfiyyətli şəkildə turlar təqdim edir. Şəhər və ölkədaxili avtobusları,turlar.az,https://turlar.az/shops
turlar-0052,MAYA TRAVEL,,https://turlar.az/me/maya-travel-1444,,MAYA TRAVEL-TURIZM SIRKETI OLARAQ FƏALİYYƏT GÖSTƏRİRİK,turlar.az,https://turlar.az/shops
