layer,family,kind,category,old_code,old_service_code,proposed_code,proposed_service_code,action,title_en,title_ru,title_az,old_includes,proposed_includes
modality,USG,imaging,,USG,USG,USG,USG,keep,Ultrasound,УЗИ,USM,,
service,USG,imaging,abdomen,USG-ABD,USG-ABD,USG-ABD,USG-ABD,keep,Abdominal ultrasound,УЗИ органов брюшной полости,USM Qarın boşluğu,,
service,USG,imaging,urinary,USG-KIDNEY,USG-KIDNEY,USG-KIDNEY,USG-KIDNEY,keep,Kidney & urinary tract ultrasound,УЗИ почек и мочевыводящих путей,USM Böyrək və sidik yolları,,
service,USG,imaging,endocrine,USG-THYROID,USG-THYROID,USG-THYROID,USG-THYROID,keep,Thyroid ultrasound,УЗИ щитовидной железы,USM Qalxanabənzər vəzi,,
service,USG,imaging,breast,USG-BREAST,USG-BREAST,USG-BREAST,USG-BREAST,keep,Breast ultrasound,УЗИ молочных желёз,USM Süd vəziləri,,
service,USG,imaging,gyn,USG-PELVIC,USG-PELVIC,USG-PELVIC,USG-PELVIC,keep,Pelvic / gynecologic ultrasound,УЗИ органов малого таза (гинекология),USM Kiçik çanaq (ginekol.),,
service,USG,imaging,obstetric,USG-OBST,USG-OBST,USG-OBST,USG-OBST,keep,Obstetric ultrasound,УЗИ акушерское (плод),USM Mamalıq,,
service,USG,imaging,soft_tissue,USG-SOFT,USG-SOFT,USG-SOFT,USG-SOFT,keep,Soft tissue / lymph nodes ultrasound,УЗИ мягких тканей / лимфоузлов,USM Yumşaq toxuma / limfa,,
service,USG,imaging,andrology,USG-PROSTATE,USG-PROSTATE,USG-PROSTATE,USG-PROSTATE,keep,Prostate / scrotum ultrasound,УЗИ предстательной железы / мошонки,USM Prostata / xaya,,
service,USG,imaging,vascular,USG-DOPPLER,USG-DOPPLER,USG-DOPPLER,USG-DOPPLER,keep,Vascular Doppler ultrasound,УЗИ сосудов (доплер),USM Damər Doppler,,
service,USG,imaging,msk,USG-MSK,USG-MSK,USG-MSK,USG-MSK,keep,Musculoskeletal ultrasound,УЗИ суставов / мышц,USM Oynaq / əzələ,,
service,USG,imaging,pediatric,USG-HIP-INF,USG-HIP-INF,USG-HIP-INF,USG-HIP-INF,keep,Infant hip ultrasound (Graf),УЗИ ТБС новорождённых (Graf),USM Körpə bud-çanaq (Graf),,
service,USG,imaging,abdomen,USG-RETRO,USG-RETRO,USG-RETRO,USG-RETRO,keep,Retroperitoneal / adrenal ultrasound,УЗИ забрюшинного пространства / надпочечников,USM Retroperitoneal / adrenal,,
service,USG,imaging,chest,USG-PLEURA,USG-PLEURA,USG-PLEURA,USG-PLEURA,keep,Pleural ultrasound,УЗИ плевральной полости,USM Plevra,,
service,USG,imaging,ent,USG-SALIV,USG-SALIV,USG-SALIV,USG-SALIV,keep,Salivary glands / neck US,УЗИ слюнных желёз / шеи,USM Tüpürcək / boyun,,
service,USG,imaging,andrology,USG-TRUS,USG-TRUS,USG-TRUS,USG-TRUS,keep,TRUS prostate,УЗИ простаты (ТРУЗИ),USM Prostata TRUS,,
service,USG,imaging,vascular,USG-BCA,USG-BCA,USG-BCA,USG-BCA,keep,BCA Doppler (carotid/vertebral),УЗИ БЦА (сонные/вертебральные),USM BCA Doppler,,
service,USG,imaging,vascular,USG-VEIN-LL,USG-VEIN-LL,USG-VEIN-LL,USG-VEIN-LL,keep,Lower limb veins Doppler,УЗИ вен нижних конечностей,USM Aşağı ətraf venaları Doppler,,
service,USG,imaging,obstetric,USG-OBST-T1,USG-OBST-T1,USG-OBST-T1,USG-OBST-T1,keep,Obstetric US trimester 1,УЗИ плода 1 триместр,USM Mamalıq 1 trimestr,,
service,USG,imaging,obstetric,USG-OBST-T2,USG-OBST-T2,USG-OBST-T2,USG-OBST-T2,keep,Obstetric US trimester 2 (anomaly scan),УЗИ плода 2 триместр (скрининг),USM Mamalıq 2 trimestr,,
service,USG,imaging,obstetric,USG-OBST-T3,USG-OBST-T3,USG-OBST-T3,USG-OBST-T3,keep,Obstetric US trimester 3,УЗИ плода 3 триместр,USM Mamalıq 3 trimestr,,
service,USG,imaging,gyn,USG-FOLLIC,USG-FOLLIC,USG-FOLLIC,USG-FOLLIC,keep,Folliculometry,УЗИ фолликулометрия,USM Follikulometriya,,
service,USG,imaging,abdomen,USG-ELASTO,USG-ELASTO,USG-ELASTO,USG-ELASTO,keep,Liver elastography,УЗИ эластография печени,USM Qaraciyər elastografiya,,
service,USG,imaging,ophthalmology,USG-ORBIT,USG-ORBIT,USG-ORBIT,USG-ORBIT,keep,Orbit / eye ultrasound,УЗИ глаза / орбиты,USM Göz / orbit,,
service,USG,imaging,soft_tissue,USG-NECK-LN,USG-NECK-LN,USG-NECK-LN,USG-NECK-LN,keep,Cervical lymph nodes ultrasound,УЗИ лимфоузлов шеи,USM Boyun limfa,,
modality,XR,imaging,,XR,XR,XR,XR,keep,X-ray,Рентген,Rentgen,,
service,XR,imaging,chest,XR-CHEST,XR-CHEST,XR-CHEST,XR-CHEST,keep,Chest X-ray,Рентген органов грудной клетки,Rentgen Döş qəfəsi,,
service,XR,imaging,spine,XR-SPINE,XR-SPINE,XR-SPINE,XR-SPINE,keep,Spine X-ray,Рентген позвоночника,Rentgen Onurğa,,
service,XR,imaging,extremity,XR-EXT,XR-EXT,XR-EXT,XR-EXT,keep,Extremity X-ray,Рентген конечностей / суставов,Rentgen Ətraf / oynaq,,
service,XR,imaging,ent,XR-SINUS,XR-SINUS,XR-SINUS,XR-SINUS,keep,Paranasal sinuses X-ray,Рентген придаточных пазух носа,Rentgen Burun əlavə boşluqları,,
service,XR,imaging,abdomen,XR-ABD,XR-ABD,XR-ABD,XR-ABD,keep,Abdominal plain film,Рентген обзор брюшной полости,Rentgen Qarın boşluğu icmal,,
service,XR,imaging,chest,XR-FLUORO,XR-FLUORO,XR-FLUORO,XR-FLUORO,keep,Fluorography,Рентген флюорография,Rentgen Flyuoroqrafiya,,
service,XR,imaging,head,XR-SKULL,XR-SKULL,XR-SKULL,XR-SKULL,keep,Skull / sella X-ray,Рентген черепа / турецкого седла,Rentgen Kəllə,,
service,XR,imaging,dental,XR-OPG,XR-OPG,XR-OPG,XR-OPG,keep,Orthopantomogram,Рентген ортопантомограмма,Rentgen Ortopantomogramma,,
service,XR,imaging,extremity,XR-FOOT,XR-FOOT,XR-FOOT,XR-FOOT,keep,Foot X-ray,Рентген стопы,Rentgen Ayaq,,
service,XR,imaging,extremity,XR-HAND,XR-HAND,XR-HAND,XR-HAND,keep,Hand X-ray,Рентген кисти,Rentgen Əl,,
modality,CT,imaging,,CT,CT,CT,CT,keep,CT,КТ,KT,,
service,CT,imaging,head,CT-HEAD,CT-HEAD,CT-HEAD,CT-HEAD,keep,Head CT,КТ головного мозга,KT Baş beyin,,
service,CT,imaging,chest,CT-CHEST,CT-CHEST,CT-CHEST,CT-CHEST,keep,Chest CT,КТ органов грудной клетки,KT Döş qəfəsi,,
service,CT,imaging,abdomen,CT-ABD,CT-ABD,CT-ABD,CT-ABD,keep,Abdomen / pelvis CT,КТ брюшной полости / малого таза,KT Qarın / çanaq,,
service,CT,imaging,spine,CT-SPINE,CT-SPINE,CT-SPINE,CT-SPINE,keep,Spine CT,КТ позвоночника,KT Onurğa,,
service,CT,imaging,vascular,CT-ANGIO,CT-ANGIO,CT-ANGIO,CT-ANGIO,keep,CT angiography,КТ ангиография,KT angioqrafiya,,
service,CT,imaging,ent,CT-SINUS,CT-SINUS,CT-SINUS,CT-SINUS,keep,Paranasal sinuses CT,КТ придаточных пазух,KT Burun boşluqları,,
service,CT,imaging,msk,CT-TMJ,CT-TMJ,CT-TMJ,CT-TMJ,keep,TMJ / jaw CT,КТ ВНЧС / челюсти,KT Çənə / VNS,,
service,CT,imaging,abdomen,CT-KIDNEY,CT-KIDNEY,CT-KIDNEY,CT-KIDNEY,keep,Kidney CT (multiphase),КТ почек (фазы),KT Böyrək,,
service,CT,imaging,cardiac,CT-CORO,CT-CORO,CT-CORO,CT-CORO,keep,Coronary CT angiography,КТ коронарография,KT Koronar angio,,
modality,MRI,imaging,,MRI,MRI,MRI,MRI,keep,MRI,МРТ,MRT,,
service,MRI,imaging,head,MRI-BRAIN,MRI-BRAIN,MRI-BRAIN,MRI-BRAIN,keep,Brain MRI,МРТ головного мозга,MRT Baş beyin,,
service,MRI,imaging,spine,MRI-SPINE,MRI-SPINE,MRI-SPINE,MRI-SPINE,keep,Spine MRI,МРТ позвоночника,MRT Onurğa,,
service,MRI,imaging,msk,MRI-JOINT,MRI-JOINT,MRI-JOINT,MRI-JOINT,keep,Joint MRI,МРТ сустава,MRT Oynaq,,
