code,kind,prikaz817,laterality,titleAz,titleRu,titleEn,titleLa,coarse,ta,fmaLabels,woAliases,boundary
ZONE-HEAD,USSR-817,1,0,Baş,Голова,Head,Caput,HEAD,Caput,Head,basina|baş|başa|basa|bsina|başına|basin|abasin,Fronto-temporal and occipito-parietal regions (817 §1).
ZONE-SCALP,HYDRO,,0,Başın tüklü hissəsi,Волосистая часть головы,Scalp (hairy part of head),Regio capillata capitis,HEAD,Scalp,Scalp,başin tüklü hissəsi|başin tüklü hissəsinə|basin tuklu nahiyesine|basin tuklu hissesi|baçin tüklü hissəsinə|baçin tüklü hissəsi|basin tuklu nahiyesi|basin tuku nahiyyesi|basin tuklu|basin tuku|basin yuklu|basin tuklu hissesei|basin tuklu hisesi|saçina|saçlarina|sacina|sac|saç,"Hairy scalp — darsonval / solux local, narrower than 817 head."
ZONE-FACE,USSR-817,2,0,Üz,Лицо,Face,Facies,HEAD,Facies,Face,çənə|cene|üz nahiyəsi|uz nahiyesi|üz|burun alin|alın|üzə|uze|burun|buruna|elave uzede|elave uzə|uzede|furun,"Frontal, peri-orbital, maxillary regions (817 §2)."
ZONE-NECK,USSR-817,3,0,Boyun,Шея,Neck,Collum,NECK,Collum,Neck,,"Neck only, without collar flap (817 §3)."
ZONE-COLLAR,USSR-817,4,0,Yaxalıq (boyun-çiyin) nahiyəsi,Воротниковая зона,Cervical collar region (Shcherbak / 817 §4),Regio cervicalis posterior et pars superior dorsi,NECK|BACK|CHEST,Regio cervicalis|M. trapezius|Mm. scaleni,Cervical region of back|Trapezius|Scalene muscles,kurek boyun ciyinlere|kurek boyuna|boyun çiyin|kurek ciyinlere|kürək çiyinlər|yaxaliq|yaxalıq|yaxaliq nahiyesine|vorotnik|varatnik|boyun|boyunçiyin|boyunciyin|boyun ciyin|kurek boyun|abefayaxaliq|bef|boun|boynundaki|trapez|trapez ezeleler|kurrek boyun|kurek biyuna|varatnik formada|boyuna|bpyun|varatniik|boy6un|biyun|boyuyn|boyin|boyn|servikal|boyun ardina|boyun ardına|boynuna,"Posterior neck, back down to Th IV, anterior chest to 2nd rib (817 §4). Same patch as Shcherbak collar electrode."
ZONE-UPPER-LIMB,USSR-817,5,1,Yuxarı ətraf,Верхняя конечность,Upper limb,Membrum superius,ARM_LEFT|ARM_RIGHT,Membrum superius,Upper limb,qollara|qollar|qolara|qollarin ic|qollarin iç|qolarda|yuxari etraf|yuxarı ətraf|yuxari nahiye|yuxarı nahiye|qoltuqalti|qoltuqaltı|qolar|qol|bazu|bazu nahiyəsi|bazu nahiyesi|qoltuq altina|qoltuq altına|qollarara|yuxari ekstremite|yuxarı ekstremite|qolla|qola|gollar|qolu|qillar|qillara,Whole upper limb (817 §5).
ZONE-UPPER-LIMB-SCAPULA,USSR-817,6,1,"Yuxarı ətraf, çiyin və kürək","Верхняя конечность, надплечье и лопатка","Upper limb, shoulder girdle and scapula",Membrum superius et scapula,ARM_LEFT|ARM_RIGHT|BACK,Membrum superius|Scapula,Upper limb|Scapula,,817 §6 — limb plus shoulder girdle and scapular region.
ZONE-SHOULDER,USSR-817,7,1,Çiyin oynağı,Плечевой сустав,Shoulder joint,Articulatio humeri,ARM_LEFT|ARM_RIGHT,Articulatio humeri,Glenohumeral joint,ciyinlere|çiyinlər|çiyin|ciyine|ciyn|çiyn|siyine|şiyinə|ciyiner|ciyuinlere|çiyuinlərə|çiyuin|çiynlər|çiyionlər|çiyinləriə|çiyinlərə|çmiyinlər|supraspinatus|insraspinatus|infraspinatus|ciyin lere|ciyuna|cuyinlere|coyinlere,"Upper third of arm, shoulder joint, ipsilateral girdle (817 §7)."
ZONE-ELBOW,USSR-817,8,1,Dirsək oynağı,Локтевой сустав,Elbow joint,Articulatio cubiti,ARM_LEFT|ARM_RIGHT,Articulatio cubiti,Elbow joint,dirseklere|dirsəklər|dirsək|dirsekler|dirseye|dirsekden asagi|dircek|dirceye|disəklər|diraeklere|dirsəklərə|sadirsek,817 §8.
ZONE-WRIST,USSR-817,9,1,Bilək oynağı,Лучезапястный сустав,Wrist joint,Articulatio radiocarpalis,ARM_LEFT|ARM_RIGHT,Articulatio radiocarpalis,Radiocarpal joint,əl biləyi|bilək|bileklere|biləklər|bilekler|biləklərə|biləyə|bileye,817 §9.
