Я запустил процесс создания отчета в Студии — первая часть таблицы будет сохранена там, и вы сможете ее использовать в любой момент. 

А пока вот **Часть 2 (файлы с 156 по 255)**. Как и в прошлый раз, я пропустил неудачные дубли и пустые скрины, чтобы вы не тратили на них время.

### Манифест экранов: Часть 2 (Скрины 157 – 255)

| file | module_code | menu_path_ru | screen_name | screen_type | parent_screen | notes | license_has | priority |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| `IMG-20260522-WA0157.jpg` | `CASH` | Касса → City Ledger FollowUp | #Agency Statement# | report | Касса | Отчет сверки задолженностей агентств (City Ledger) | да | must |
| `IMG-20260522-WA0159.jpg` | `CRM` | Whatsapp → #Cloud Api Bulk Sending# | Сообщение через API WhatsApp | list | Whatsapp | Журнал рассылок WhatsApp (Отправлено, Неудачно) | да | should |
| `IMG-20260522-WA0163.jpg` | `MED` | CRM списки → Медицинские записи | Медицинские записи | list | CRM списки | Медицинские случаи гостей (Ожидание, Обработка) | да | must |
| `IMG-20260522-WA0166.jpg` | `MED` | CRM списки → Определения лабораторных иссл. | Определения лабораторных исследований | list | CRM списки | Справочник мед. анализов с референсными значениями (Мин/Макс) | да | must |
| `IMG-20260522-WA0167.jpg` | `HK` | Служба Уборки → СУН Контроль И Состояние... | СУН Контроль И Состояние Номера | list | Служба Уборки | Детальный статус уборки, легионелла, расходники | да | must |
| `IMG-20260522-WA0168.jpg` | `HK` | Служба Уборки → Список Закрытых Номеров | Список Закрытых Номеров | list | Служба Уборки | Журнал номеров на ремонте (Out of Order / Out of Service) | да | must |
| `IMG-20260522-WA0169.jpg` | `CRM` | Бронирования → Прим. к брони | Прим. к брони | list | Бронирования | Журнал особых отметок и экстра-реквестов гостей | да | should |
| `IMG-20260522-WA0170.jpg` | `PMS` | Ночной Аудит → Конец Года | Конец Года | wizard | Ночной Аудит | Закрытие финансового года (Первый/Последний день) | да | must |
| `IMG-20260522-WA0172.jpg` | `CASH` | Касса → Касса | Касса | list | Главное меню | Журнал кассовых смен (Наличные, Терминалы) | да | must |
| `IMG-20260522-WA0173.jpg` | `PMS` | Фронт-офис → Гостевые Карточки | Гостевые Карточки | list | Касса | Реестр профайлов гостей (Национальность, контакты) | да | must |
| `IMG-20260522-WA0174.jpg` | `CRM` | Бронирования → Обзор бронирований | Обзор бронирований | list | Бронирования | Списки гостей по статусам (Ожидание, Проживающие, Выезд) | да | must |
| `IMG-20260522-WA0175.jpg` | `CRM` | Whatsapp → #Bulk Sending# | Сообщение через API WhatsApp | list | Whatsapp | Журнал массовых рассылок гостям | да | nice |
| `IMG-20260522-WA0178.jpg` | `CRM` | Бронирования → Бронирования гостей | Бронирования гостей | list | Бронирования | Поиск броней с расширенными фильтрами CRM | да | must |
| `IMG-20260522-WA0179.jpg` | `PMS` | Служба Уборки → Список Изменений Номеров | Поменять Номер | list | Служба Уборки | История переселений гостей (Room Moves) | да | should |
| `IMG-20260522-WA0181.jpg` | `CRM` | Панель CRM → Панель CRM | Dashboard (Демография) | dashboard | Панель CRM | Круговые диаграммы национальностей и типов гостей | да | must |
| `IMG-20260522-WA0182.jpg` | `CRM` | Whatsapp → #Messaging By Whatsapp Cloud Api#| Messaging By Whatsapp Cloud Api | chat | Whatsapp | Интерфейс прямого чата с гостем через WhatsApp | да | should |
| `IMG-20260522-WA0184.jpg` | `PMS` | Фронт-офис → Быстрое Назначение Номера | Быстрое Назначение Номера | split | Фронт-офис | Массовое присвоение номеров неразмещенным броням | да | must |
| `IMG-20260522-WA0185.jpg` | `CRM` | Панель CRM → Панель CRM | Dashboard (Анкеты) | dashboard | Панель CRM | Анализ заполненности анкет по национальностям | да | should |
| `IMG-20260522-WA0186.jpg` | `HK` | Служба Уборки → Управление горничными | Изменение статуса номера | dialog | Служба Уборки | Попап смены статуса уборки (Грязный, Чистый, Проверен) | да | must |
| `IMG-20260522-WA0188.jpg` | `PMS` | Ночной Аудит → Архивные Отчеты На Конец Дня | Архивные Отчеты На Конец Дня | report | Ночной Аудит | Доступ к сохраненным Z-отчетам и сводкам прошлых дней | да | must |
| `IMG-20260522-WA0189.jpg` | `HK` | Служба Уборки → Панель управления HK | Панель управления HK (Повторные) | dashboard | Служба Уборки | Статистика повторных гостей и загрузки горничных | да | must |
| `IMG-20260522-WA0191.jpg` | `HK` | Служба Уборки → СУН Операции В Номерах | СУН Операции В Номерах | list | Служба Уборки | Журнал фактов уборки с указанием горничных и времени | да | must |
| `IMG-20260522-WA0192.jpg` | `PMS` | Ночной Аудит → Обновление бронирования | Обновление бронирования | list | Ночной Аудит | Лог отмен и изменений броней с причинами | да | must |
| `IMG-20260522-WA0197.jpg` | `HK` | Касса → Потерянные и найденные вещи | Потерянные и найденные вещи | list | Касса | Реестр Lost & Found (Найдено, Доставлено) | да | should |
| `IMG-20260522-WA0198.jpg` | `MED` | CRM списки → Группы лабораторных иссл. | Группы лабораторных исследований | list | CRM списки | Справочник категорий анализов (Гормоны, Кровь и т.д.) | да | must |
| `IMG-20260522-WA0199.jpg` | `CRM` | Панель CRM → Панель CRM | Dashboard (Отзывы) | dashboard | Панель CRM | Сводка жалоб/отзывов в разрезе департаментов | да | should |
| `IMG-20260522-WA0200.jpg` | `HK` | Служба Уборки → Панель управления HK | Панель управления HK (Состояние)| dashboard | Служба Уборки | Пончики статусов номерного фонда (Clean/Dirty, Occupied) | да | must |
| `IMG-20260522-WA0201.jpg` | `CASH` | Касса → Перенесенные Начисления | Отчет о транзакциях перевода | list | Касса | Журнал трансферов начислений между фолио гостей | да | must |
| `IMG-20260522-WA0202.jpg` | `REPORTS`| Отчеты Менеджера | Заполняемость/ADR/RevPAR по пансиону | report | Отчеты Менеджера | Аналитика загрузки по типам питания (BB, HB, FB) | да | must |
| `IMG-20260522-WA0203.jpg` | `MED` | CRM списки → Результаты лабораторных иссл. | Результаты лабораторных исследований | list | CRM списки | Готовые результаты анализов пациентов санатория | да | must |
| `IMG-20260522-WA0205.jpg` | `HK` | Служба Уборки → СУН Список Номеров | Список номеров для горничных | list | Служба Уборки | Лист-задание для горничных на день | да | must |
| `IMG-20260522-WA0206.jpg` | `PMS` | Фронт-офис → Номерной Фонд (RR) | Номерной Фонд (RR) | grid | Фронт-офис | Классическая визуальная сетка комнат (Room Rack) | да | must |
| `IMG-20260522-WA0209.jpg` | `PMS` | Фронт-офис → #Room Plan# | !Room Plan! | calendar | Фронт-офис | Диаграмма Ганта (Шахматка) бронирований по номерам | да | must |
| `IMG-20260522-WA0212.jpg` | `PMS` | Фронт-офис → Время бронирования | Время бронирования | list | Фронт-офис | Журнал таймингов рейсов и заездов гостей | да | should |
| `IMG-20260522-WA0221.jpg` | `CRM` | Вопросы → Ключ ответов | Ключ ответов | list | Вопросы | Настройка правильных вариантов для тестов/опросов | да | nice |
| `IMG-20260522-WA0222.jpg` | `CRM` | Вопросы → Система ответов отеля | Система ответов отеля | list | Вопросы | Справочник ответственных за жалобы по отделам | да | should |
| `IMG-20260522-WA0223.jpg` | `CRM` | Вопросы → Вопросы управления | Вопросы | list | Вопросы | Конструктор анкет качества (Фронт, Бухгалтерия, Уборка) | да | should |
| `IMG-20260522-WA0224.jpg` | `CRM` | Вопросы → Экзамен | Варианты ответа | list | Вопросы | Вложенные списки (дерево) вариантов ответов | да | nice |
| `IMG-20260522-WA0225.jpg` | `SETTINGS` | Персонализация → #Agency Portal# | #ElektraHotels.com Agency Portal# | settings | Персонализация | Настройка портала B2B агентств (комиссии, лимиты) | да | should |
| `IMG-20260522-WA0226.jpg` | `SETTINGS` | Устройства и API → #Big Query Connection Request# | #Big Query Connection Request# | form | Устройства и API | Интеграция с Google BigQuery (Логин) | да | nice |
| `IMG-20260522-WA0227.jpg` | `SETTINGS` | CRM Определения → Транспортные средства | Список транспортных средств | list | CRM Определения | Справочник автопарка отеля для трансферов | да | should |
| `IMG-20260522-WA0228.jpg` | `SETTINGS` | CRM Определения → Код группы резервации | Код группы резервации | list | CRM Определения | Справочник тегов для групповых броней | да | should |
| `IMG-20260522-WA0230.jpg` | `SETTINGS` | CRM Определения → Отели-конкуренты | Отели-конкуренты | list | CRM Определения | Справочник конкурентов (Compset) для аналитики | да | nice |
| `IMG-20260522-WA0231.jpg` | `SETTINGS` | Определения банкета → Основные опред. для банк...| Соглашения по банкету | list | Определения банкета | Справочник типовых договоров на мероприятия | да | should |
| `IMG-20260522-WA0232.jpg` | `SETTINGS` | Опред. CRM → Ответы CRM по умолчанию | Ответы CRM по умолчанию | list | Определения CRM | Шаблоны быстрых ответов (Отменено, Гость недоволен) | да | must |
| `IMG-20260522-WA0233.jpg` | `SETTINGS` | Опред. CRM → Определения задач отеля | #Task Definition# | list | Определения CRM | Справочник типов задач (Техподдержка, Уборка, Врач) | да | must |
| `IMG-20260522-WA0234.jpg` | `SETTINGS` | Опред. CRM → Подотделы пользователей | Подотделы | list | Определения CRM | Детализация структуры (Ресторан -> Бар, Кухня) | да | must |
| `IMG-20260522-WA0235.jpg` | `SETTINGS` | Опред. CRM → Отделы пользователей | Пользовательские отделы | list | Определения CRM | Департаменты для маршрутизации задач | да | must |
| `IMG-20260522-WA0237.jpg` | `SETTINGS` | Опред. анкет → Отделы для анкет | Отделы для анкет | list | Определения анкет | Привязка опросников к зонам ответственности | да | should |
| `IMG-20260522-WA0238.jpg` | `SETTINGS` | Настройки лояльности → #Agency Loyalty Settings#| #Agency Loyaliti Settings# | form | Настройки лояльности | Бонусная программа для агентств (баннеры, правила) | да | should |
| `IMG-20260522-WA0239.jpg` | `SETTINGS` | Настройки лояльности → Настройки лояльности | Настройки программы лояльности | form | Настройки лояльности | Правила гостевых бонусов (% начисления, сгорание) | да | must |
| `IMG-20260522-WA0240.jpg` | `CRM` | CRM Определения → Экспорт списка гостей | Экспорт (выгрузка) списка гостей | list | CRM Определения | Фильтры для выгрузки базы контактов (для рассылок) | да | should |
| `IMG-20260522-WA0241.jpg` | `SETTINGS` | CRM Определения → Опред. групп детализации | Определения групп детализации CRM | list | CRM Определения | Настройка тегов для жалоб и отзывов | да | nice |
| `IMG-20260522-WA0242.jpg` | `SETTINGS` | CRM Определения → #Room Check List Definitions# | Определения чек-листа | list | CRM Определения | Инспекционные чек-листы для супервайзеров | да | should |
| `IMG-20260522-WA0243.jpg` | `CRM` | CRM Определения → Гости | Гости | list | CRM Определения | Глобальная база профилей (CRM Master Data) | да | must |
| `IMG-20260522-WA0244.jpg` | `SETTINGS` | Другие определения → Настройки печати | Настройки печати | form | Другие определения | Конструктор печатных форм (Отступы, Логотипы, Колонки) | да | must |
| `IMG-20260522-WA0246.jpg` | `SETTINGS` | Установка channel manager → Интеграция | Интеграция | list | Установка channel manager | Настройка iCal и других прямых ссылок синхронизации | да | should |
| `IMG-20260522-WA0247.jpg` | `SETTINGS` | Установка channel manager → Канал отправки данных | Канал отправки данных | list | Установка channel manager | Журнал пушей в Channel Manager (Цены, квоты) | да | must |
| `IMG-20260522-WA0248.jpg` | `SETTINGS` | Установка channel manager → Журнал канала | Журналы канала | list | Установка channel manager | Лог обмена с OTA (Ошибки, Синхронизация) | да | must |
