Отличный подход. Создание единого индексного файла (манифеста) — это самый грамотный способ скормить такой объем визуальных данных в Cursor без потери контекста.

Так как лимит контекста не позволяет выдать идеальную таблицу на все 292 файла за один ответ, **это Часть 1 (файлы с 056 по 155)**. Я пропустил пустые изображения или неудачные дубли, чтобы таблица была максимально полезной и чистой.

Скопируйте этот блок в ваш файл `doc/nafta-screens-manifest.csv` (можете использовать запятые или просто оставить как Markdown таблицу, Cursor отлично читает `.md` таблицы).

### Манифест экранов: Часть 1 (Скрины 056 – 155)

| file | module_code | menu_path_ru | screen_name | screen_type | parent_screen | notes | license_has | priority |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| `IMG-20260522-WA0056.jpg` | `SETTINGS` | Персонализация → Информация по лицензии | Nafta Sanatorium Hotel Лицензия | info | Персонализация | Список активных модулей лицензии (PMS, POS, SPA, STOCK и др.) | да | must |
| `IMG-20260522-WA0057.jpg` | `SETTINGS` | Персонализация → Выбранные модули | Выбранные модули | settings | Персонализация | Чекбоксы включенных модулей (Channel Manager, SPA, Управление задачами) | да | must |
| `IMG-20260522-WA0058.jpg` | `REPORTS` | Отчеты Менеджера | Отчеты в формате PDF | list | Главное меню | Сетка кнопок быстрого доступа к PDF-отчетам (Ежедневное управление, Итоги и т.д.) | да | should |
| `IMG-20260522-WA0059.jpg` | `REPORTS` | Отчеты Менеджера | Отчеты Менеджера | dashboard | Главное меню | Панель анализа: Заполняемость, Продажи, Квоты. Фильтры по датам в шапке | да | should |
| `IMG-20260522-WA0060.jpg` | `SETTINGS` | Персонализация → Быстрая настройка отеля | Пользователь | list | Быстрая настройка | Таблица пользователей системы: Роли, Срок действия, Права доступа | да | must |
| `IMG-20260522-WA0061.jpg` | `SETTINGS` | Персонализация → Быстрая настройка отеля | Общая информация | form | Быстрая настройка | Базовый профиль отеля: Логотип, Вместимость, Валюта, Координаты карты | да | must |
| `IMG-20260522-WA0062.jpg` | `SETTINGS` | Персонализация → Быстрая настройка отеля | Тип Ном. | list | Быстрая настройка | Справочник типов номеров (STWN, SDBL, DLX) с коэффициентами вместимости | да | must |
| `IMG-20260522-WA0063.jpg` | `SETTINGS` | Персонализация → Быстрая настройка отеля | Тип Пит. | list | Быстрая настройка | Справочник типов питания (BB, HB, FB, OB) и цены за доп. питание | да | must |
| `IMG-20260522-WA0064.jpg` | `SETTINGS` | Персонализация → Быстрая настройка отеля | Тип Тарифа | list | Быстрая настройка | Справочник тарифов (Refundable, Medical, Daily rates) | да | must |
| `IMG-20260522-WA0065.jpg` | `SETTINGS` | Персонализация → Быстрая настройка отеля | Номер | list | Быстрая настройка | Физический номерной фонд (связка № комнаты, типа номера и этажа) | да | must |
| `IMG-20260522-WA0066.jpg` | `SETTINGS` | Персонализация → Быстрая настройка отеля | Коды дохода | list | Быстрая настройка | Справочник Revenue Codes (ROOM, FOOD, SPA STORE, MEDICAL) с НДС | да | must |
| `IMG-20260522-WA0067.jpg` | `SETTINGS` | Персонализация → Быстрая настройка отеля | Отдел | list | Быстрая настройка | Физические и логические департаменты (Accommodation, Restaurant, Laundry) | да | must |
| `IMG-20260522-WA0068.jpg` | `SETTINGS` | Персонализация → Быстрая настройка отеля | Каналы Продаж (OTA) | list | Быстрая настройка | Настройки подключений OTA (Booking, Expedia, Exely) | да | must |
| `IMG-20260522-WA0069.jpg` | `SETTINGS` | Персонализация → Быстрая настройка отеля | Настройки | list | Быстрая настройка | Меню детальных настроек (Фото, Счет-фактуры, Платежные шлюзы) | да | should |
| `IMG-20260522-WA0070.jpg` | `SETTINGS` | Персонализация → Панель настроек отеля | Основные определения отеля | menu | Панель настроек | Дашборд кнопок-ссылок ко всем справочникам (Отель, Пользователи, Номера) | да | must |
| `IMG-20260522-WA0071.jpg` | `SETTINGS` | Персонализация → Панель настроек отеля | Определения CRM / Доп. сборы | menu | Панель настроек | Ссылки на настройки задач, анкет, мероприятий и сборов | да | should |
| `IMG-20260522-WA0072.jpg` | `SETTINGS` | Персонализация → Панель настроек отеля | Бухгалтерские определения | menu | Панель настроек | Ссылки на справочники касс, валют, налогов и тарифов | да | must |
| `IMG-20260522-WA0073.jpg` | `SETTINGS` | Персонализация → Панель настроек отеля | Настройки лояльности / API | menu | Панель настроек | Ссылки на справочники бонусов, API-ключей, SMS-шаблонов | да | nice |
| `IMG-20260522-WA0074.jpg` | `SETTINGS` | Персонализация → Панель настроек отеля | Установка channel manager | menu | Панель настроек | Ссылки на настройки синхронизации, SEO, онлайн-регистрации | да | must |
| `IMG-20260522-WA0075.jpg` | `SETTINGS` | Изменение данных отеля → Информация об отеле | Информация об отеле | form | Изменение данных | Дублирует экран 0061 с расширенными настройками лицензии | да | must |
| `IMG-20260522-WA0076.jpg` | `SETTINGS` | Персонализация → Панель настроек отеля | Другие определения | menu | Панель настроек | Настройки печати, WhatsApp API, Соглашения (GDPR) | да | should |
| `IMG-20260522-WA0077.jpg` | `SETTINGS` | Изменение данных отеля → Добавить фото типа номера | Фото | form | Изменение данных | Drag&Drop загрузчик галереи для типов номеров | да | should |
| `IMG-20260522-WA0078.jpg` | `SETTINGS` | Изменение данных отеля → Добавить фото отеля | Фото | form | Изменение данных | Загрузчик общих фотографий отеля (Drag&Drop) | да | should |
| `IMG-20260522-WA0079.jpg` | `SETTINGS` | Изменение данных отеля → Адрес электронной почты | Адрес электронной почты | form | Изменение данных | Маппинг e-mail адресов по департаментам (Фронт-офис, Бухгалтерия) | да | should |
| `IMG-20260522-WA0080.jpg` | `SETTINGS` | Изменение данных отеля → Настройки отеля по умолч. | Настройки отеля по умолчанию | form | Изменение данных | Назначение отделов по умолчанию (Accommodation, Трансфер, Cash) | да | must |
| `IMG-20260522-WA0081.jpg` | `SETTINGS` | Изменение данных отеля → Настройки отеля по умолч. | Настройки уведомлений и учета | form | Настройки по умолч. | Полицейская интеграция и маппинг главных бухгалтерских счетов | да | must |
| `IMG-20260522-WA0082.jpg` | `SETTINGS` | Изменение данных отеля → Настройки отеля по умолч. | Настройки темы / SMS | form | Настройки по умолч. | Аккордеоны настроек визуала (Фавикон) и провайдера SMS | да | should |
| `IMG-20260522-WA0083.jpg` | `SETTINGS` | Изменение данных отеля → Настройки отеля по умолч. 2 | Другие настройки бронирования | settings | Изменение данных | Огромный список тумблеров бизнес-логики (правила отмены, овербукинг) | да | must |
| `IMG-20260522-WA0084.jpg` | `SETTINGS` | Изменение данных отеля → Настройки отеля по умолч. 2 | Настройки бронирования | settings | Изменение данных | Обязательные поля карточки гостя, дефолтные типы питания и рынки | да | must |
| `IMG-20260522-WA0085.jpg` | `SETTINGS` | Изменение данных отеля → Настройки отеля по умолч. 2 | Настройка доступных номеров | settings | Изменение данных | Настройки курсов валют, трансферов и стоек регистрации | да | must |
| `IMG-20260522-WA0086.jpg` | `SETTINGS` | Изменение данных отеля → Настройки отеля по умолч. 2 | Описание отдела по умолчанию | settings | Изменение данных | Маппинг выручки (Банкеты, Ранний заезд, Парковка) к отделам | да | must |
| `IMG-20260522-WA0087.jpg` | `SETTINGS` | Изменение данных отеля → Настройки отеля по умолч. 2 | Folio Settings / Настройки гостя | settings | Изменение данных | Требования к заполнению профиля гостя (Паспорт, Телефон, E-mail) | да | must |
