Я запустил процесс создания отчета со второй таблицей (Часть 2) в Студии — скоро он будет готов и сохранен в вашем блокноте.

А мы переходим к финалу. Ниже представлена **Часть 3 (файлы с 256 по 347)**. Я так же пропустил пустые заглушки и неудачные дубли.

### Манифест экранов: Часть 3 (Скрины 256 – 347)

| file | module_code | menu_path_ru | screen_name | screen_type | parent_screen | notes | license_has | priority |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| `IMG-20260522-WA0256.jpg` | `SETTINGS` | Опред. онлайн-бронирования → Дополнительные услуги | Дополнительные услуги | list | Опред. онлайн-бронирования | Услуги, предлагаемые при бронировании (Трансфер, SPA, цветы) | да | should |
| `IMG-20260522-WA0257.jpg` | `SETTINGS` | Опред. онлайн-бронирования → Настройки СМС | Настройки СМС | form | Опред. онлайн-бронирования | Выбор провайдера СМС для модуля онлайн-бронирования | да | should |
| `IMG-20260522-WA0258.jpg` | `SETTINGS` | Опред. онлайн-бронирования → SEO и соц.сети | Настройки SEO и социальных медиа | form | Опред. онлайн-бронирования | Настройки вкладок, попапов и аналитики (Google Analytics, Метрика) | да | should |
| `IMG-20260522-WA0259.jpg` | `SETTINGS` | Опред. онлайн-бронирования → SEO и соц.сети | Настройки SEO (низ) | form | Опред. онлайн-бронирования | Meta-теги, URL и описание для поисковых систем | да | should |
| `IMG-20260522-WA0261.jpg` | `SETTINGS` | Опред. онлайн-бронирования → Функции отеля | General / Other / Activities | form | Опред. онлайн-бронирования | Чек-листы удобств отеля (Бассейн, Парковка, SPA) для сайта | да | must |
| `IMG-20260522-WA0265.jpg` | `SETTINGS` | Опред. онлайн-бронирования → Языки онлайн-бр... | Языки отеля | list | Опред. онлайн-бронирования | Доступные языки модуля Booking Engine (RU, EN, AZ) | да | must |
| `IMG-20260522-WA0266.jpg` | `SETTINGS` | Опред. онлайн-бронирования → Настройки Онлайн... | Настройки Онлайн Бронирования | form | Опред. онлайн-бронирования | Управление типами номеров, тарифами и квотами для виджета | да | must |
| `IMG-20260522-WA0267.jpg` | `SETTINGS` | Опред. онлайн-бронирования → Настройки Онлайн... | Настройки Онлайн Бронирования | form | Опред. онлайн-бронирования | Вкладка настройки цен онлайн-агентства и расчетных формул | да | must |
| `IMG-20260522-WA0268.jpg` | `SETTINGS` | Опред. онлайн-бронирования → Настройки Онлайн... | Настройки Онлайн Бронирования | form | Опред. онлайн-бронирования | Общая инфа, фото, адрес и координаты для Booking Engine | да | must |
| `IMG-20260522-WA0272.jpg` | `ACC` | Определения интеграции → Таблица курса обмена | Таблица курса обмена | list | Определения интеграции | Журнал курсов валют (EUR, USD, AZN) для внешних интеграций | да | must |
| `IMG-20260522-WA0274.jpg` | `ACC` | Определения интеграции → Экспорт Sage | Экспорт Sage | list | Определения интеграции | Интеграция с учетной системой Sage (модуль выгрузки) | да | should |
| `IMG-20260522-WA0275.jpg` | `ACC` | Определения интеграции → Определение НДС | Определение НДС | list | Определения интеграции | Справочник налоговых ставок и маппинг бухгалтерских счетов | да | must |
| `IMG-20260522-WA0277.jpg` | `ACC` | Определения интеграции → Банковские счета | Банковские счета | list | Определения интеграции | Справочник банковских счетов отеля, IBAN для расчетов | да | must |
| `IMG-20260522-WA0278.jpg` | `ACC` | Определения интеграции → Информация о подключ...| Настройки подключения | list | Определения интеграции | Данные компании-интегратора для электронных счетов-фактур | да | should |
| `IMG-20260522-WA0279.jpg` | `ACC` | Определения интеграции → Бавел | Бавел | list | Определения интеграции | Настройки интеграции Bavel (Электронный биллинг) | да | should |
