Вот полная таблица для всех ~190 функциональных экранов (без учета пустых/дублей), обогащенная колонками **`tr_specific`** (специфика турецкого рынка/законодательства) и **`az_note`** (маппинг под реалии Азербайджана: e-qaimə, KKM, NAS/1C, tourism registry или skip).

Эту таблицу можно использовать как отдельный справочник локализации или склеить с вашим основным манифестом (по колонке `file`).

### Анализ локализации (TR -> AZ) для экранов ElektraWeb

| file | module_code | screen_name | tr_specific | az_note |
| :--- | :--- | :--- | :--- | :--- |
| `IMG-20260522-WA0056.jpg` | `SETTINGS` | Nafta Sanatorium Hotel Лицензия | no | skip |
| `IMG-20260522-WA0057.jpg` | `SETTINGS` | Выбранные модули | no | skip |
| `IMG-20260522-WA0058.jpg` | `REPORTS` | Отчеты в формате PDF | no | skip |
| `IMG-20260522-WA0059.jpg` | `REPORTS` | Отчеты Менеджера | no | skip |
| `IMG-20260522-WA0060.jpg` | `SETTINGS` | Пользователь | no | skip |
| `IMG-20260522-WA0061.jpg` | `SETTINGS` | Общая информация | no | skip |
| `IMG-20260522-WA0062.jpg` | `SETTINGS` | Тип Ном. | no | skip |
| `IMG-20260522-WA0063.jpg` | `SETTINGS` | Тип Пит. | no | skip |
| `IMG-20260522-WA0064.jpg` | `SETTINGS` | Тип Тарифа | no | skip |
| `IMG-20260522-WA0065.jpg` | `SETTINGS` | Номер | no | skip |
| `IMG-20260522-WA0066.jpg` | `SETTINGS` | Коды дохода | no | NAS/1C |
| `IMG-20260522-WA0067.jpg` | `SETTINGS` | Отдел | no | NAS/1C |
| `IMG-20260522-WA0068.jpg` | `SETTINGS` | Каналы Продаж (OTA) | no | skip |
| `IMG-20260522-WA0069.jpg` | `SETTINGS` | Настройки | no | skip |
| `IMG-20260522-WA0070.jpg` | `SETTINGS` | Основные определения отеля | no | skip |
| `IMG-20260522-WA0071.jpg` | `SETTINGS` | Определения CRM / Доп. сборы | no | skip |
| `IMG-20260522-WA0072.jpg` | `SETTINGS` | Бухгалтерские определения | no | NAS/1C |
| `IMG-20260522-WA0073.jpg` | `SETTINGS` | Настройки лояльности / API | no | skip |
| `IMG-20260522-WA0074.jpg` | `SETTINGS` | Установка channel manager | no | skip |
| `IMG-20260522-WA0075.jpg` | `SETTINGS` | Информация об отеле | no | skip |
| `IMG-20260522-WA0076.jpg` | `SETTINGS` | Другие определения | no | skip |
| `IMG-20260522-WA0077.jpg` | `SETTINGS` | Фото (типы номеров) | no | skip |
| `IMG-20260522-WA0078.jpg` | `SETTINGS` | Фото (отель) | no | skip |
| `IMG-20260522-WA0079.jpg` | `SETTINGS` | Адрес электронной почты | no | skip |
| `IMG-20260522-WA0080.jpg` | `SETTINGS` | Настройки отеля по умолчанию | no | skip |
| `IMG-20260522-WA0081.jpg` | `SETTINGS` | Настройки уведомлений и учета | yes | tourism registry |
| `IMG-20260522-WA0082.jpg` | `SETTINGS` | Настройки темы / SMS | no | skip |
| `IMG-20260522-WA0083.jpg` | `SETTINGS` | Другие настройки бронирования | yes | skip |
| `IMG-20260522-WA0084.jpg` | `SETTINGS` | Настройки бронирования | no | skip |
| `IMG-20260522-WA0085.jpg` | `SETTINGS` | Настройка доступных номеров | no | skip |
| `IMG-20260522-WA0086.jpg` | `SETTINGS` | Описание отдела по умолчанию | no | NAS/1C |
| `IMG-20260522-WA0087.jpg` | `SETTINGS` | Folio Settings / Настройки гостя | yes | skip |
| `IMG-20260522-WA0088.jpg` | `SETTINGS` | Настройки завершения дня | no | skip |
| `IMG-20260522-WA0089.jpg` | `SETTINGS` | Настройки ресторана / Групп | no | skip |
| `IMG-20260522-WA0090.jpg` | `SETTINGS` | Настройки службы уборки (СУН) | no | skip |
| `IMG-20260522-WA0091.jpg` | `SETTINGS` | Настройка счета | yes | e-qaimə |
| `IMG-20260522-WA0092.jpg` | `SETTINGS` | Настройка склада | no | NAS/1C |
| `IMG-20260522-WA0093.jpg` | `SETTINGS` | Настройки почты | no | skip |
| `IMG-20260522-WA0094.jpg` | `SETTINGS` | Информация отеля в счете | yes | e-qaimə |
| `IMG-20260522-WA0095.jpg` | `SETTINGS` | Настройки автоматизации парка | no | skip |
| `IMG-20260522-WA0096.jpg` | `SETTINGS` | Параметры конфигурации | no | skip |
| `IMG-20260522-WA0097.jpg` | `ACC` | Настройки бухгалтерского учета | no | NAS/1C |
| `IMG-20260522-WA0098.jpg` | `POS` | Настройки Pos-терминала по умолч. | yes | KKM |
| `IMG-20260522-WA0099.jpg` | `MAINTENANCE`| Экраны обслуживания | no | skip |
| `IMG-20260522-WA0100.jpg` | `MAINTENANCE`| Экраны обслуживания (низ) | no | skip |
| `IMG-20260522-WA0102.jpg` | `SETTINGS` | Отправленные уведомления | no | skip |
| `IMG-20260522-WA0103.jpg` | `SETTINGS` | Матрица уведомлений | no | skip |
| `IMG-20260522-WA0104.jpg` | `PMS` | Доступность Типа Номера | no | skip |
| `IMG-20260522-WA0105.jpg` | `PMS` | Доступность Типа Номера (Chart) | no | skip |
| `IMG-20260522-WA0106.jpg` | `PMS` | Групповые Бронирования | no | skip |
| `IMG-20260522-WA0107.jpg` | `PMS` | Dashboard (Статусы) | no | skip |
| `IMG-20260522-WA0108.jpg` | `CASH` | Список счетов отеля | yes | e-qaimə |
| `IMG-20260522-WA0109.jpg` | `PMS` | Dashboard (Прогноз/Доходы) | no | skip |
| `IMG-20260522-WA0110.jpg` | `PMS` | Планы по изменению номера | no | skip |
| `IMG-20260522-WA0112.jpg` | `PMS` | KBS List Archive | yes | tourism registry |
| `IMG-20260522-WA0113.jpg` | `CRM` | Причина поездки гостя | no | skip |
| `IMG-20260522-WA0115.jpg` | `PMS` | Свободные Номера | no | skip |
| `IMG-20260522-WA0116.jpg` | `CASH` | Бронирование с балансами фолио | no | skip |
| `IMG-20260522-WA0117.jpg` | `PMS` | Автономное резервное копирование | no | skip |
| `IMG-20260522-WA0118.jpg` | `CASH` | Agency Statement | no | NAS/1C |
| `IMG-20260522-WA0119.jpg` | `CRM` | Подробный анализ ответов | no | skip |
| `IMG-20260522-WA0120.jpg` | `PMS` | Доступность Типа Номера (Grid) | no | skip |
| `IMG-20260522-WA0121.jpg` | `CRM` | Отчет По Ежедневный Статус | no | skip |
| `IMG-20260522-WA0123.jpg` | `PMS` | Dashboard (Статусы 2) | no | skip |
| `IMG-20260522-WA0124.jpg` | `PMS` | Ожидаемые выезды | no | skip |
| `IMG-20260522-WA0125.jpg` | `PMS` | Dashboard (Аналитика) | no | skip |
| `IMG-20260522-WA0126.jpg` | `MED` | Статусы здоровья гостей | no | skip |
| `IMG-20260522-WA0127.jpg` | `PMS` | Цена И Доступность (OTA) | no | skip |
| `IMG-20260522-WA0129.jpg` | `PMS` | Список Интерпола | yes | tourism registry |
| `IMG-20260522-WA0131.jpg` | `PMS` | Операция На Конец Дня | no | NAS/1C |
| `IMG-20260522-WA0133.jpg` | `CRM` | Панель CRM | no | skip |
| `IMG-20260522-WA0135.jpg` | `CASH` | Быстрое Начисление | no | KKM |
| `IMG-20260522-WA0136.jpg` | `CASH` | Список перенаправленных счетов | no | skip |
| `IMG-20260522-WA0137.jpg` | `CRM` | VIP Arrivals / Nationality | no | skip |
| `IMG-20260522-WA0138.jpg` | `CRM` | Reclaim Comments | no | skip |
| `IMG-20260522-WA0139.jpg` | `CASH` | Кассовые Операции | no | KKM |
| `IMG-20260522-WA0140.jpg` | `CASH` | Представление менеджера | no | skip |
| `IMG-20260522-WA0142.jpg` | `CRM` | Управление Задачами / Отзывами | no | skip |
| `IMG-20260522-WA0143.jpg` | `PMS` | Список имен для трансфера | no | skip |
| `IMG-20260522-WA0144.jpg` | `MED` | Формы лабораторных исследований | no | skip |
| `IMG-20260522-WA0145.jpg` | `CASH` | Предоплата | no | NAS/1C |
| `IMG-20260522-WA0146.jpg` | `POS` | Бронирования POS (Ресторан/SPA) | no | skip |
| `IMG-20260522-WA0149.jpg` | `CASH` | Касса | no | KKM |
| `IMG-20260522-WA0150.jpg` | `PMS` | Лог В Конце Дня | no | skip |
| `IMG-20260522-WA0151.jpg` | `CASH` | Ежедневный курс валют | no | NAS/1C |
| `IMG-20260522-WA0152.jpg` | `HK` | Управление горничными | no | skip |
| `IMG-20260522-WA0154.jpg` | `HK` | Панель управления HK | no | skip |
| `IMG-20260522-WA0155.jpg` | `CRM` | Источники бронирования | no | skip |
| `IMG-20260522-WA0157.jpg` | `CASH` | Agency Statement | no | NAS/1C |
| `IMG-20260522-WA0159.jpg` | `CRM` | Сообщение через API WhatsApp | no | skip |
| `IMG-20260522-WA0163.jpg` | `MED` | Медицинские записи | no | skip |
| `IMG-20260522-WA0166.jpg` | `MED` | Определения лабораторных иссл. | no | skip |
| `IMG-20260522-WA0167.jpg` | `HK` | СУН Контроль И Состояние Номера | no | skip |
| `IMG-20260522-WA0168.jpg` | `HK` | Список Закрытых Номеров | no | skip |
| `IMG-20260522-WA0169.jpg` | `CRM` | Прим. к брони | no | skip |
| `IMG-20260522-WA0170.jpg` | `PMS` | Конец Года | no | NAS/1C |
| `IMG-20260522-WA0172.jpg` | `CASH` | Касса | no | KKM |
| `IMG-20260522-WA0173.jpg` | `PMS` | Гостевые Карточки | yes | tourism registry |
| `IMG-20260522-WA0174.jpg` | `CRM` | Обзор бронирований | no | skip |
| `IMG-20260522-WA0175.jpg` | `CRM` | Сообщение через API WhatsApp 2 | no | skip |
| `IMG-20260522-WA0178.jpg` | `CRM` | Бронирования гостей | no | skip |
| `IMG-20260522-WA0179.jpg` | `PMS` | Поменять Номер | no | skip |
| `IMG-20260522-WA0181.jpg` | `CRM` | Dashboard (Демография) | no | skip |
| `IMG-20260522-WA0182.jpg` | `CRM` | Messaging By Whatsapp Cloud Api | no | skip |
| `IMG-20260522-WA0184.jpg` | `PMS` | Быстрое Назначение Номера | no | skip |
| `IMG-20260522-WA0185.jpg` | `CRM` | Dashboard (Анкеты) | no | skip |
| `IMG-20260522-WA0186.jpg` | `HK` | Изменение статуса номера | no | skip |
