| file | module_code | menu_path_ru | screen_name | screen_type | parent_screen | notes | license_has | priority |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| `IMG-20260522-WA0101.jpg` | `SETTINGS` | Изменение данных отеля → Нотификация | EMPTY | empty | Изменение данных | из меню: Нотификация | да | nice |
| `IMG-20260522-WA0111.jpg` | `PMS` | Фронт-офис → Планы по изменению номера | EMPTY | empty | Фронт-офис | из меню: Планы по изменению номера | да | nice |
| `IMG-20260522-WA0114.jpg` | `CRM` | CRM списки → Причины поездки | EMPTY | empty | CRM списки | из меню: Причины поездки | да | nice |
| `IMG-20260522-WA0122.jpg` | `CRM` | Панель CRM → Отчет По Ежедневный Статус | EMPTY | empty | Панель CRM | из меню: Отчет По Ежедневный Статус | да | nice |
| `IMG-20260522-WA0128.jpg` | `PMS` | Фронт-офис → Каналы Продаж (OTA) | EMPTY | empty | Фронт-офис | из меню: Каналы Продаж (OTA) | да | nice |
| `IMG-20260522-WA0130.jpg` | `PMS` | Список в полицию → Список Интерпола | EMPTY | empty | Список в полицию | из меню: Список Интерпола | да | nice |
| `IMG-20260522-WA0132.jpg` | `PMS` | Ночной Аудит → Конец Дня | EMPTY | empty | Ночной Аудит | из меню: Конец Дня | да | nice |
| `IMG-20260522-WA0134.jpg` | `CRM` | Панель CRM → Панель CRM | EMPTY | empty | Панель CRM | из меню: Панель CRM | да | nice |
| `IMG-20260522-WA0141.jpg` | `CASH` | Касса → Представление менеджера | EMPTY | empty | Касса | из меню: Представление менеджера | да | nice |
| `IMG-20260522-WA0147.jpg` | `POS` | Бронирование комплексов отеля → Бронирования POS | EMPTY | empty | Бронирование POS | из меню: Бронирования POS | да | nice |
| `IMG-20260522-WA0148.jpg` | `POS` | Бронирование комплексов отеля → Бронирования POS | EMPTY | empty | Бронирование POS | из меню: Бронирования POS | да | nice |
| `IMG-20260522-WA0153.jpg` | `HK` | Служба Уборки Номеров → Управление горничными | EMPTY | empty | Служба Уборки | из меню: Управление горничными | да | nice |
| `IMG-20260522-WA0156.jpg` | `CRM` | CRM списки → Источники бронирования | EMPTY | empty | CRM списки | из меню: Источники бронирования | да | nice |
| `IMG-20260522-WA0158.jpg` | `CASH` | Касса → City Ledger FollowUp | EMPTY | empty | Касса | из меню: City Ledger FollowUp | да | nice |
| `IMG-20260522-WA0160.jpg` | `CRM` | Whatsapp → Cloud Api Bulk Sending | EMPTY | empty | Whatsapp | из меню: Cloud Api Bulk Sending | да | nice |
| `IMG-20260522-WA0161.jpg` | `CRM` | Whatsapp → Cloud Api Bulk Sending | EMPTY | empty | Whatsapp | из меню: Cloud Api Bulk Sending | да | nice |
| `IMG-20260522-WA0162.jpg` | `CRM` | Whatsapp → Cloud Api Bulk Sending | EMPTY | empty | Whatsapp | из меню: Cloud Api Bulk Sending | да | nice |
| `IMG-20260522-WA0164.jpg` | `MED` | CRM списки → Медицинские записи | EMPTY | empty | CRM списки | из меню: Медицинские записи | да | nice |
| `IMG-20260522-WA0165.jpg` | `MED` | CRM списки → Медицинские записи | EMPTY | empty | CRM списки | из меню: Медицинские записи | да | nice |
| `IMG-20260522-WA0171.jpg` | `PMS` | Ночной Аудит → Конец Года | EMPTY | empty | Ночной Аудит | из меню: Конец Года | да | nice |
| `IMG-20260522-WA0176.jpg` | `CRM` | Whatsapp → Bulk Sending | EMPTY | empty | Whatsapp | из меню: Bulk Sending | да | nice |
| `IMG-20260522-WA0177.jpg` | `CRM` | Whatsapp → Bulk Sending | EMPTY | empty | Whatsapp | из меню: Bulk Sending | да | nice |
| `IMG-20260522-WA0180.jpg` | `PMS` | Служба Уборки → Список Изменений Номеров | EMPTY | empty | Служба Уборки | из меню: Список Изменений Номеров | да | nice |
